"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"
"5058"	"224011000001106"	"85821020"	"Zileze 3.75 tablets (Opus Pharmaceuticals Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"14365"	"8799011000001104"	"91009020"	"Zopiclone 3.75mg/5ml oral suspension"	"Zopiclone"	"750microgram/1ml"	"Oral suspension"	"Oral"	"04010100"	"Hypnotics"
"15852"	"562111000001100"	"85822020"	"Zileze 7.5 tablets (Opus Pharmaceuticals Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"24135"	"591711000001108"	"59209020"	"Zopiclone 7.5mg tablets (Actavis UK Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"29219"	"300111000001100"	"59210020"	"Zopiclone 3.75mg tablets (Actavis UK Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"30056"	"328811000001103"	"59236020"	"Zopiclone 3.75mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"30377"	"916611000001100"	"59785020"	"Zopiclone 3.75mg tablets (Mylan)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"33045"	"878811000001101"	"59237020"	"Zopiclone 7.5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"33663"	"20411000001101"	"59784020"	"Zopiclone 7.5mg tablets (Mylan)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"34372"	"11415811000001106"	"63765020"	"Zopiclone 7.5mg tablets (PLIVA Pharma Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"34612"	"733311000001101"	"60509020"	"Zopiclone 3.75mg tablets (A A H Pharmaceuticals Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"34777"	"105911000001103"	"59593020"	"Zopiclone 3.75mg tablets (Teva UK Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"34823"	"286011000001109"	"59594020"	"Zopiclone 7.5mg tablets (Teva UK Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"34874"	"254811000001101"	"63436020"	"Zopiclone 7.5mg tablets (Kent Pharmaceuticals Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"34897"	"467411000001100"	"65546020"	"Zopiclone 3.75mg tablets (Kent Pharmaceuticals Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"43445"	"466711000001108"	"60510020"	"Zopiclone 7.5mg tablets (A A H Pharmaceuticals Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"45353"	"7378411000001104"	"62715020"	"Zopiclone 7.5mg tablets (Sandoz Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"46799"	"19609611000001101"	"00479021"	"Zopiclone 3.75mg/5ml oral solution"	"Zopiclone"	"750microgram/1ml"	"Oral solution"	"Oral"	"04010100"	"Hypnotics"
"52022"	"20032211000001105"	"39801020"	"Zimovane 7.5mg tablets (Lexon (UK) Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"57937"	"9797111000001107"	"71655020"	"Zopiclone 3.75mg tablets (Almus Pharmaceuticals Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"59640"	"8798911000001108"	"20950020"	"Zopiclone 7.5mg/5ml oral suspension"	"Zopiclone"	"1.5mg/1ml"	"Oral suspension"	"Oral"	"04010100"	"Hypnotics"
"61477"	"24510911000001105"	"26647021"	"Zopiclone 7.5mg/5ml oral solution"	"Zopiclone"	"1.5mg/1ml"	"Oral solution"	"Oral"	"04010100"	"Hypnotics"
"63592"	"15203611000001105"	"03170020"	"Zopiclone 7.5mg tablets (Sigma Pharmaceuticals Plc)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"65637"	"17877911000001107"	"03171020"	"Zopiclone 7.5mg tablets (Phoenix Healthcare Distribution Ltd)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"70727"	"15203311000001100"	"03176020"	"Zopiclone 3.75mg tablets (Sigma Pharmaceuticals Plc)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"71089"	"21040311000001106"	"43832020"	"Zopiclone 3.75mg tablets (Bristol Laboratories Ltd)"	"Zopiclone"	"3.75mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"73154"	"22656111000001102"	"16686021"	"Zopiclone 7.5mg tablets (DE Pharmaceuticals)"	"Zopiclone"	"7.5mg"	"Tablet"	"Oral"	"04010100"	"Hypnotics"
"75455"	""	"38401020"	"Zopiclone 3.75mg/5ml oral solution (Drug Tariff Special Order)"	"Zopiclone"	"750microgram/1ml"	"Oral solution"	"Oral"	"04010100"	"Hypnotics"
