productname	formulation	route	drugsubstance	strength	database	productcode
Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	7751
Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	8332
Tryptizol 10mg Tablet (Merck Sharp & Dohme Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	8726
Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd)	Modified-release Capsule	Oral	Amitriptyline Hydrochloride	75mg	Gold	8831
Tryptizol 10mg/5ml sugar free Oral solution (Merck Sharp and Dohme Ltd)	Oral Solution	Oral	Amitriptyline Hydrochloride	10mg/5ml	Gold	8878
Limbitrol 10 Capsule (Roche Products Ltd)	Capsule	Oral	Amitriptyline Hydrochloride/Chlordiazepoxide		Gold	11963
Limbitrol 5 Capsule (Roche Products Ltd)	Capsule	Oral	Amitriptyline Hydrochloride/Chlordiazepoxide		Gold	14534
Perphenazine 2mg with Amitriptyline 10mg tablet	Tablets	Oral	Amitriptyline Hydrochloride/Perphenazine	2mg + 10mg	Gold	16323
Amitriptyline 25mg / Chlordiazepoxide 10mg capsules	Capsules	Oral	Amitriptyline Hydrochloride/Chlordiazepoxide	25mg + 10mg	Gold	18342
Amitriptyline 10mg/ml injection	Injection		Amitriptyline Hydrochloride	10mg/ml	Gold	19779
Domical 25mg Tablet (Berk Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	20026
Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules	Capsules	Oral	Amitriptyline Hydrochloride/Chlordiazepoxide	12.5mg + 5mg	Gold	21081
Amitriptyline 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)	Oral Solution	Oral	Amitriptyline Hydrochloride	10mg/5ml	Gold	22070
Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	24134
Amitriptyline 10mg tablets (Actavis UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	24141
Amitriptyline 25mg tablets (Actavis UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	24145
Amitriptyline 25mg tablets (Teva UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	24147
Amitriptyline 10mg tablets (Teva UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	24152
Elavil 10mg Tablet (DDSA Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	24680
Domical 10mg Tablet (Berk Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	26213
Domical 50mg Tablet (Berk Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	27008
Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	32439
Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	33090
Amitriptyline 50mg tablets (Teva UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	33624
Amitriptyline 50mg tablets (Wockhardt UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	34107
Amitriptyline 25mg tablets (Wockhardt UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	34129
Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	34182
Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	34197
Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)	Oral solution	Oral	Amitriptyline hydrochloride	5mg/1ml	Gold	34224
Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)	Oral solution	Oral	Amitriptyline hydrochloride	10mg/1ml	Gold	34251
Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	34274
Amitriptyline 10mg tablets (Wockhardt UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	34401
Amitriptyline 25mg Tablet (Regent Laboratories Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	34474
Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	34503
Amitriptyline 50mg tablets (Actavis UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	34634
Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	34731
Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	34782
Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	34916
Triptafen-M tablets (Mercury Pharma Group Ltd)	Tablet	Oral	Amitriptyline hydrochloride/Perphenazine	10mg + 2mg	Gold	38827
Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	40396
Amitriptyline 25mg Tablet (Celltech Pharma Europe Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	41729
Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	42078
Amitriptyline 25mg Tablet (Crosspharma Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	42394
Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	45233
Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	45242
Amitriptyline 10mg/5ml oral solution	Oral solution	Oral	Amitriptyline hydrochloride	2mg/1ml	Gold	46801
Amitriptyline 10mg/5ml oral suspension	Oral suspension	Oral	Amitriptyline hydrochloride	2mg/1ml	Gold	46818
Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	46970
Amitriptyline oral solution	Oral Liquid	Oral	Amitriptyline Hydrochloride		Gold	48065
Amitriptyline 10mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	52867
Amitriptyline 25mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	54877
Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	55139
Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	55491
Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	57107
Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	57972
Amitriptyline 10mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	59161
Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd)	Oral solution	Oral	Amitriptyline hydrochloride	10mg/1ml	Gold	59820
Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	60355
Amitriptyline 25mg/5ml oral solution sugar free (Wockhardt UK Ltd)	Oral solution	Oral	Amitriptyline hydrochloride	5mg/1ml	Gold	60410
Amitriptyline 10mg tablets (DE Pharmaceuticals)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	61835
Amitriptyline 10mg/5ml oral solution sugar free	Oral solution	Oral	Amitriptyline hydrochloride	2mg/1ml	Gold	64000
Amitriptyline 5mg/5ml oral solution	Oral solution	Oral	Amitriptyline hydrochloride	1mg/1ml	Gold	64141
Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	64330
Amitriptyline 25mg tablets (DE Pharmaceuticals)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	64647
Amitriptyline 25mg tablets (Sandoz Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	65439
Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	65879
Amitriptyline 25mg tablets (Crescent Pharma Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	65987
Amitriptyline 25mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	66572
Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	66578
Amitriptyline 25mg tablets (Mawdsley-Brooks & Company Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	66579
Amitriptyline 25mg/5ml oral solution sugar free (DE Pharmaceuticals)	Oral solution	Oral	Amitriptyline hydrochloride	5mg/1ml	Gold	67127
Amitriptyline 50mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Amitriptyline hydrochloride	50mg	Gold	69712
Amitriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)	Oral solution	Oral	Amitriptyline hydrochloride	2mg/1ml	Gold	70300
Amitriptyline 10mg tablets (Arrow Generics Ltd)	Tablet	Oral	Amitriptyline hydrochloride	10mg	Gold	70991
Amitriptyline 25mg tablets (Arrow Generics Ltd)	Tablet	Oral	Amitriptyline hydrochloride	25mg	Gold	71042
Amoxapine 50mg tablets	Tablet	Oral	Amoxapine	50.000mg	Aurum	60941000033114
Asendis 50mg tablets	Tablet	Oral	Amoxapine	50.000mg	Aurum	87941000033111
Asendis 100mg tablets	Tablet	Oral	Amoxapine	100.000mg	Aurum	87641000033116
Amoxapine 100mg tablets	Tablet	Oral	Amoxapine	100.000mg	Aurum	61041000033116
Amoxapine 50mg tablets	Tablet	Oral	Amoxapine	50mg	Gold	3351
Amoxapine 100mg tablets	Tablet	Oral	Amoxapine	100mg	Gold	3652
Amoxapine 150mg tablets	Tablets	Oral	Amoxapine	150mg	Gold	4411
Asendis 50mg Tablet (Wyeth Pharmaceuticals)	Tablet	Oral	Amoxapine	50mg	Gold	14398
Asendis 25mg Tablet (Wyeth Pharmaceuticals)	Tablet	Oral	Amoxapine	25mg	Gold	15380
Amoxapine 25mg tablets	Tablets	Oral	Amoxapine	25mg	Gold	17319
Asendis 100mg Tablet (Wyeth Pharmaceuticals)	Tablet	Oral	Amoxapine	100mg	Gold	21357
Asendis 150mg Tablet (Wyeth Pharmaceuticals)	Tablet	Oral	Amoxapine	150mg	Gold	24723
Asendis 50mg tablets (Mercury Pharma Group Ltd)	Tablet	Oral	Amoxapine	50mg	Gold	55289
Cipramil 20mg tablets	Tablet	Oral	Citalopram hydrobromide	20.000mg	Aurum	259141000033116
Citalopram 20mg tablets	Tablet	Oral	Citalopram hydrobromide	20.000mg	Aurum	259241000033111 
Citalopram 10mg tablets	Tablet	Oral	Citalopram hydrobromide	10.000mg	Aurum	1583341000033118
Cipramil 10mg tablets	Tablet	Oral	Citalopram hydrobromide	10.000mg	Aurum	1583241000033111
Cipramil 40mg tablets	Tablet	Oral	Citalopram hydrobromide	40.000mg	Aurum	1583041000033115
Citalopram 40mg tablets	Tablet	Oral	Citalopram hydrobromide	40.000mg	Aurum	1583141000033116
Citalopram 40mg/ml oral drops sugar free	Oral drops	Oral	Citalopram hydrochloride	40.000mg/1.000ml	Aurum	1900641000033112
Cipramil 40mg/ml drops	Oral drops	Oral	Citalopram hydrochloride	40.000mg/1.000ml	Aurum	1900741000033115
Cipralex 10mg tablets	Tablet	Oral	Escitalopram oxalate	10.000mg	Aurum	2749641000033115
Escitalopram 10mg tablets	Tablet	Oral	Escitalopram oxalate	10.000mg	Aurum	2749541000033116
Escitalopram 20mg tablets	Tablet	Oral	Escitalopram oxalate	20.000mg	Aurum	2951341000033116
Cipralex 20mg tablets	Tablet	Oral	Escitalopram oxalate	20.000mg	Aurum	2951441000033110
Escitalopram 5mg tablets	Tablet	Oral	Escitalopram oxalate	5.000mg	Aurum	3030341000033110
Cipralex 5mg tablets	Tablet	Oral	Escitalopram oxalate	5.000mg	Aurum	3030541000033115
Cipralex 10mg/ml oral drops	Oral drops	Oral	Escitalopram oxalate	10.000mg/1.000ml	Aurum	3928941000033119
Escitalopram 10mg/ml oral drops sugar free	Oral drops	Oral	Escitalopram oxalate	10.000mg/1.000ml	Aurum	3928841000033110
Cipralex 20mg/ml oral drops	Oral drops	Oral	Escitalopram oxalate	20.000mg/1.000ml	Aurum	5128641000033118
Escitalopram 20mg/ml oral drops sugar free	Oral drops	Oral	Escitalopram oxalate	20.000mg/1.000ml	Aurum	5128541000033119
Citalopram 20mg tablets	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	67
Citalopram 10mg tablets	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	476
Citalopram 40mg/ml oral drops sugar free	Oral drops	Oral	Citalopram hydrochloride	40mg/1ml	Gold	513
Escitalopram 10mg tablets	Tablet	Oral	Escitalopram oxalate	10mg	Gold	603
Cipralex 10mg tablets (Lundbeck Ltd)	Tablet	Oral	Escitalopram oxalate	10mg	Gold	648
Cipralex 5mg tablets (Lundbeck Ltd)	Tablet	Oral	Escitalopram oxalate	5mg	Gold	785
Cipramil 40mg/ml drops (Lundbeck Ltd)	Oral drops	Oral	Citalopram hydrochloride	40mg/1ml	Gold	815
Cipramil 20mg tablets (Lundbeck Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	1712
Cipramil 40mg tablets (Lundbeck Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	2408
Cipramil 10mg tablets (Lundbeck Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	3861
Citalopram 40mg tablets	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	4770
Escitalopram 20mg tablets	Tablet	Oral	Escitalopram oxalate	20mg	Gold	6218
Cipralex 20mg tablets (Lundbeck Ltd)	Tablet	Oral	Escitalopram oxalate	20mg	Gold	6360
Escitalopram 5mg tablets	Tablet	Oral	Escitalopram oxalate	5mg	Gold	6405
Escitalopram 10mg/ml oral drops sugar free	Oral drops	Oral	Escitalopram oxalate	10mg/1ml	Gold	20152
Citalopram 20mg tablets (Sandoz Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	26016
Cipralex 10mg/ml oral drops (Lundbeck Ltd)	Oral drops	Oral	Escitalopram oxalate	10mg/1ml	Gold	26056
Paxoran 20mg Tablet (Ranbaxy (UK) Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	29756
Paxoran 10mg Tablet (Ranbaxy (UK) Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	32546
Citalopram 10mg tablets (Actavis UK Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	32848
Citalopram 10mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	33720
Citalopram 20mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	34356
Citalopram 10mg tablets (Zentiva)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	34413
Citalopram 20mg tablets (Mylan)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	34415
Citalopram 10mg tablets (Mylan)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	34436
Citalopram 40mg tablets (Sandoz Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	34466
Citalopram 10mg Tablet (Neo Laboratories Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	34498
Citalopram 10mg tablets (Sandoz Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	34499
Citalopram 10mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	34586
Citalopram 40mg tablets (Mylan)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	34603
Citalopram 20mg Tablet (Neo Laboratories Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	34722
Citalopram 20mg tablets (Zentiva)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	34822
Citalopram 20mg tablets (Actavis UK Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	34871
Citalopram 20mg tablets (Teva UK Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	34966
Citalopram 20mg tablets (Niche Generics Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	34970
Citalopram 40mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	36746
Escitalopram 20mg/ml oral drops sugar free	Oral drops	Oral	Escitalopram oxalate	20mg/1ml	Gold	40726
Cipralex 20mg/ml oral drops (Lundbeck Ltd)	Oral drops	Oral	Escitalopram oxalate	20mg/1ml	Gold	41062
Citalopram 10mg tablets (Teva UK Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	41528
Citalopram 10mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	42660
Citalopram 40mg Tablet (Neo Laboratories Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	43519
Citalopram 40mg tablets (Niche Generics Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	45223
Citalopram 10mg tablets (Niche Generics Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	45286
Citalopram 40mg tablets (Teva UK Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	45304
Citalopram 40mg tablets (Zentiva)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	46926
Citalopram 40mg tablets (Actavis UK Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	46977
Citalopram 20mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	48026
Citalopram 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	49165
Citalopram 10mg tablets (Arrow Generics Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	52100
Citalopram 20mg tablets (DE Pharmaceuticals)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	52354
Citalopram 10mg tablets (Kent Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	52408
Citalopram 20mg tablets (Bristol Laboratories Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	52607
Citalopram 10mg tablets (PLIVA Pharma Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	52824
Citalopram 20mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	53394
Citalopram 10mg tablets (Bristol Laboratories Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	53787
Citalopram 10mg/5ml oral suspension	Oral suspension	Oral	Citalopram hydrobromide	2mg/1ml	Gold	54827
Citalopram 40mg tablets (DE Pharmaceuticals)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	55033
Citalopram 20mg tablets (Arrow Generics Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	56009
Citalopram 40mg/ml oral drops sugar free (Actavis UK Ltd)	Oral drops	Oral	Citalopram hydrochloride	40mg/1ml	Gold	56292
Citalopram 10mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	56355
Citalopram 40mg/ml oral drops sugar free (A A H Pharmaceuticals Ltd)	Oral drops	Oral	Citalopram hydrochloride	40mg/1ml	Gold	57936
Citalopram 20mg tablets (Aurobindo Pharma Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	58476
Citalopram 10mg tablets (Ranbaxy (UK) Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	59193
Citalopram 10mg tablets (Aurobindo Pharma Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	59650
Citalopram 20mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	60568
Citalopram 40mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	60839
Citalopram 10mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	60888
Citalopram 10mg tablets (Rivopharm (UK) Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	63441
Escitalopram 10mg tablets (Actavis UK Ltd)	Tablet	Oral	Escitalopram oxalate	10mg	Gold	63916
Cipramil 20mg tablets (DE Pharmaceuticals)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	63953
Citalopram 10mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	64423
Citalopram 20mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	67097
Citalopram 40mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	69571
Citalopram 40mg tablets (Aurobindo Pharma Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	70790
Citalopram 10mg tablets (DE Pharmaceuticals)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	71005
Citalopram 20mg/5ml oral suspension	Oral suspension	Oral	Citalopram hydrobromide	4mg/1ml	Gold	71848
Citalopram 40mg/ml oral drops sugar free (Teva UK Ltd)	Oral drops	Oral	Citalopram hydrochloride	40mg/1ml	Gold	72124
Citalopram 20mg tablets (Ranbaxy (UK) Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	72373
Escitalopram 20mg tablets (Teva UK Ltd)	Tablet	Oral	Escitalopram oxalate	20mg	Gold	72773
Citalopram 20mg tablets (PLIVA Pharma Ltd)	Tablet	Oral	Citalopram hydrobromide	20mg	Gold	73417
Citalopram 30mg tablets			Citalopram Hydrobromide		Gold	74753
Cipralex 10mg tablets (DE Pharmaceuticals)	Tablet	Oral	Escitalopram oxalate	10mg	Gold	74785
Cipralex 10mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Escitalopram oxalate	10mg	Gold	74858
Escitalopram 10mg tablets (Brown & Burk UK Ltd)	Tablet	Oral	Escitalopram oxalate	10mg	Gold	74993
Citalopram 40mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	75075
