medcodeid	term	originalreadcode	snomedctconceptid	snomedctdescriptionid	readcode	condition	score
251716013	h/o: asthma	14B4	161527007	251716013	14B4.00	Chronic pulmonary disease	1
397833011	h/o: peptic ulcer	14C1	266998003	397833011	14C1.00	Peptic ulcer disease	1
411541019	h/o: duodenal ulcer	14C1-1	275547005	411541019	14C1.11	Peptic ulcer disease	1
411542014	h/o: gastric ulcer	14C1-2	275548000	411542014	14C1.12	Peptic ulcer disease	1
251763010	h/o: nephritis	14D1	161546008	251763010	14D1.00	Renal disease	2
453100011	h/o: admission in last year for diabetes foot problem	14F4	309635005	453100011	14F4.00	Diabetes with end-organ damage	2
251794010	h/o: rheumatoid arthritis	14G1	161567008	251794010	14G1.00	Rheumatic disease	1
451376017	h/o: peripheral vascular disease procedure	14NB	308071004	451376017	14NB.00	Peripheral vascular disease	1
251923016	h/o: kidney recipient	14S2	161665007	251923016	14S2.00	Renal disease	2
251957012	h/o: renal dialysis	14V2	161693006	251957012	14V2.00	Renal disease	2
251956015	h/o: kidney dialysis	14V2-1	161693006	251956015	14V2.11	Renal disease	2
375462013	claudication distance	16I	252094004	375462013	16I..00	Peripheral vascular disease	1
655601000006113	exercise induced asthma	173A	31387002	52467014	173A.00	Chronic pulmonary disease	1
95786019	occupational asthma	173c	57607007	95786019	173c.00	Chronic pulmonary disease	1
983771000006118	work aggravated asthma	173d	57607007	95786019	173d.00	Chronic pulmonary disease	1
252423010	c/o bronchial catarrh	1761	161960000	252423010	1761	Chronic pulmonary disease	1
1780194017	asthma trigger	178	400987003	1780194017	178..00	Chronic pulmonary disease	1
929091000006111	aspirin induced asthma	1780	407674008	2159273015	1780.00	Chronic pulmonary disease	1
1739151000000116	asthma trigger - pollen	1781	340911000000109	1739151000000116	1781.00	Chronic pulmonary disease	1
1739161000000118	asthma trigger - tobacco smoke	1782	340921000000103	1739161000000118	1782.00	Chronic pulmonary disease	1
1739171000000113	asthma trigger - warm air	1783	340931000000101	1739171000000113	1783.00	Chronic pulmonary disease	1
636271000000117	asthma trigger - emotion	1784	201211000000107	306001000000115	1784.00	Chronic pulmonary disease	1
636251000000114	asthma trigger - damp	1785	201201000000105	305981000000116	1785.00	Chronic pulmonary disease	1
305611000000115	asthma trigger - animals	1786	201051000000101	636211000000110	1786.00	Chronic pulmonary disease	1
636311000000117	asthma trigger - seasonal	1787	201041000000104	305591000000111	1787.00	Chronic pulmonary disease	1
636231000000119	asthma trigger - cold air	1788	201191000000108	305961000000113	1788.00	Chronic pulmonary disease	1
636291000000118	asthma trigger - respiratory infection	1789	201031000000108	305571000000112	1789.00	Chronic pulmonary disease	1
1739131000000111	asthma trigger - airborne dust	178A	340891000000106	1739131000000111	178A.00	Chronic pulmonary disease	1
1739141000000119	asthma trigger - exercise	178B	340901000000107	1739141000000119	178B.00	Chronic pulmonary disease	1
253000011	paralysis present	1B33	162241004	253000011	1B33.00	Hemiplegia or paraplegia	2
459732012	pain from metastases	1D18	315241008	459732012	1D18.00	Metastatic solid tumour	4
315971000000115	chronic obstructive pulmonary disease excluded by spirometry	1I70	205731000000109	315971000000115	1I70.00	Chronic pulmonary disease	1
1752811000000118	no evidence of diabetic nephropathy	1IA	783901000000107	1752811000000118	1IA..00	Diabetes (uncomplicated)	1
314291000000112	suspected cerebrovascular disease	1JA1	205001000000100	314291000000112	1JA1.00	Cerebrovascular disease	1
2127581000000115	suspected dementia	1JA2	816461000000109	2127581000000115	1JA2.00	Dementia	1
413750011	central post-stroke pain	1M4	277286006	413750011	1M4..00	Cerebrovascular disease	1
1488798019	cancer confirmed	1O0	395099008	1488798019	1O0..00	Any malignancy	2
1488804017	heart failure confirmed	1O1	395105005	1488804017	1O1..00	Congestive heart failure	1
1780388018	asthma confirmed	1O2	401193004	1780388018	1O2..00	Chronic pulmonary disease	1
354409011	chronic renal impairment	1Z1	709044004	3037970010	1Z1..00	Renal disease	2
304031000000117	chronic kidney disease stage 1	1Z10	431855005	2767383018	1Z10.00	Renal disease	2
304051000000112	chronic kidney disease stage 2	1Z11	431856006	2767384012	1Z11.00	Renal disease	2
304071000000115	chronic kidney disease stage 3	1Z12	433144002	2773184015	1Z12.00	Renal disease	2
304091000000116	chronic kidney disease stage 4	1Z13	431857002	2767385013	1Z13.00	Renal disease	2
304111000000114	chronic kidney disease stage 5	1Z14	433146000	2767154014	1Z14.00	Renal disease	2
557811000000119	chronic kidney disease stage 3a	1Z15	700378005	2990386017	1Z15.00	Renal disease	2
557831000000110	chronic kidney disease stage 3b	1Z16	700379002	2990361014	1Z16.00	Renal disease	2
595541000000119	chronic kidney disease stage 1 with proteinuria	1Z17	324121000000109	595541000000119	1Z17.00	Renal disease	2
618391000000118	ckd stage 1 with proteinuria	1Z17-1	324121000000109	618391000000118	1Z17.11	Renal disease	2
595601000000118	chronic kidney disease stage 1 without proteinuria	1Z18	324151000000104	595601000000118	1Z18.00	Renal disease	2
595661000000119	chronic kidney disease stage 2 with proteinuria	1Z19	324181000000105	595661000000119	1Z19.00	Renal disease	2
618411000000118	ckd stage 2 with proteinuria	1Z19-1	324181000000105	618411000000118	1Z19.11	Renal disease	2
595721000000116	chronic kidney disease stage 2 without proteinuria	1Z1A	324211000000106	595721000000116	1Z1A.00	Renal disease	2
618421000000112	ckd stage 2 without proteinuria	1Z1A-1	324211000000106	618421000000112	1Z1A.11	Renal disease	2
595811000000117	chronic kidney disease stage 3 with proteinuria	1Z1B	324251000000105	595811000000117	1Z1B.00	Renal disease	2
618431000000114	ckd stage 3 with proteinuria	1Z1B-1	324251000000105	618431000000114	1Z1B.11	Renal disease	2
595871000000110	chronic kidney disease stage 3 without proteinuria	1Z1C	324281000000104	595871000000110	1Z1C.00	Renal disease	2
618441000000117	ckd stage 3 without proteinuria	1Z1C-1	324281000000104	618441000000117	1Z1C.11	Renal disease	2
595931000000116	chronic kidney disease stage 3a with proteinuria	1Z1D	324311000000101	595931000000116	1Z1D.00	Renal disease	2
618451000000119	ckd stage 3a with proteinuria	1Z1D-1	324311000000101	618451000000119	1Z1D.11	Renal disease	2
595991000000115	chronic kidney disease stage 3a without proteinuria	1Z1E	324341000000100	595991000000115	1Z1E.00	Renal disease	2
618461000000116	ckd stage 3a without proteinuria	1Z1E-1	324341000000100	618461000000116	1Z1E.11	Renal disease	2
596051000000115	chronic kidney disease stage 3b with proteinuria	1Z1F	324371000000106	596051000000115	1Z1F.00	Renal disease	2
618471000000111	ckd stage 3b with proteinuria	1Z1F-1	324371000000106	618471000000111	1Z1F.11	Renal disease	2
596131000000114	chronic kidney disease stage 3b without proteinuria	1Z1G	324411000000105	596131000000114	1Z1G.00	Renal disease	2
618481000000113	ckd stage 3b without proteinuria	1Z1G-1	324411000000105	618481000000113	1Z1G.11	Renal disease	2
596191000000110	chronic kidney disease stage 4 with proteinuria	1Z1H	324441000000106	596191000000110	1Z1H.00	Renal disease	2
618491000000110	ckd stage 4 with proteinuria	1Z1H-1	324441000000106	618491000000110	1Z1H.11	Renal disease	2
596261000000111	chronic kidney disease stage 4 without proteinuria	1Z1J	324471000000100	596261000000111	1Z1J.00	Renal disease	2
618501000000116	ckd stage 4 without proteinuria	1Z1J-1	324471000000100	618501000000116	1Z1J.11	Renal disease	2
596321000000110	chronic kidney disease stage 5 with proteinuria	1Z1K	324501000000107	596321000000110	1Z1K.00	Renal disease	2
618511000000119	ckd stage 5 with proteinuria	1Z1K-1	324501000000107	618511000000119	1Z1K.11	Renal disease	2
596401000000111	chronic kidney disease stage 5 without proteinuria	1Z1L	324541000000105	596401000000111	1Z1L.00	Renal disease	2
618521000000113	ckd stage 5 without proteinuria	1Z1L-1	324541000000105	618521000000113	1Z1L.11	Renal disease	2
496491000006117	asthma resolved	21262	162660004	253533013	2126200	Chronic pulmonary disease	1
402429016	o/e - senile - old age	2229	268912009	402429016	2229.00	Dementia	1
254061017	o/e - arterial wall - aneurysm	2456	163018009	254061017	2456.00	Peripheral vascular disease	1
254824010	o/e - paralysis	283	163598001	254824010	283..00	Hemiplegia or paraplegia	2
254829017	o/e - hemiplegia	2833	163601006	254829017	2833.00	Hemiplegia or paraplegia	2
254830010	o/e - monoplegia	2834	163602004	254830010	2834.00	Hemiplegia or paraplegia	2
254833012	o/e - paraplegia	2835	163604003	254833012	2835.00	Hemiplegia or paraplegia	2
254834018	o/e - quadriplegia	2836	163605002	254834018	2836.00	Hemiplegia or paraplegia	2
254835017	o/e - diplegia	2837	163606001	254835017	2837.00	Hemiplegia or paraplegia	2
254836016	o/e - paralysis nos	283Z	163598001	254824010	283Z.00	Hemiplegia or paraplegia	2
1488401018	lower limb spasticity	2949	394679006	1488401018	2949.00	Hemiplegia or paraplegia	2
1488402013	upper limb spasticity	294A	394680009	1488402013	294A.00	Hemiplegia or paraplegia	2
1747851000000119	worsening limb spasticity	294B	781781000000104	1747851000000119	294B.00	Hemiplegia or paraplegia	2
1751911000000117	upper limb flaccidity	294E	449910002	2912913011	294E.00	Hemiplegia or paraplegia	2
254948019	o/e - gait spastic	2992	163685000	254948019	2992.00	Hemiplegia or paraplegia	2
254949010	o/e - spastic gait	2992-1	163685000	254949010	2992.11	Hemiplegia or paraplegia	2
169731000006118	retinal abnormality - diabetes related	2BBF	4855003	1230609013	2BBF.00	Diabetes with end-organ damage	2
1484883016	o/e - no right diabetic retinopathy	2BBJ	390850007	1484883016	2BBJ.00	Diabetes (uncomplicated)	1
975251000006111	o/e - right eye stable treated prolif diabetic retinopathy	2BBk	414910007	2532963013	2BBk.00	Diabetes with end-organ damage	2
1484886012	o/e - no left diabetic retinopathy	2BBK	390853009	1484886012	2BBK.00	Diabetes (uncomplicated)	1
975261000006113	o/e - left eye stable treated prolif diabetic retinopathy	2BBl	414894003	2532964019	2BBl.00	Diabetes with end-organ damage	2
1484887015	o/e - diabetic maculopathy present both eyes	2BBL	390854003	1484887015	2BBL.00	Diabetes with end-organ damage	2
1484888013	o/e - diabetic maculopathy absent both eyes	2BBM	390855002	1484888013	2BBM.00	Diabetes (uncomplicated)	1
2549896013	o/e - sight threatening diabetic retinopathy	2BBo	417677008	2549896013	2BBo.00	Diabetes with end-organ damage	2
2159973010	o/e - right eye background diabetic retinopathy	2BBP	408409007	2159973010	2BBP.00	Diabetes with end-organ damage	2
2159974016	o/e - left eye background diabetic retinopathy	2BBQ	408410002	2159974016	2BBQ.00	Diabetes with end-organ damage	2
733161000000116	impaired vision due to diabetic retinopathy	2BBr	373041000000101	733161000000116	2BBr.00	Diabetes with end-organ damage	2
2159975015	o/e - right eye preproliferative diabetic retinopathy	2BBR	408411003	2159975015	2BBR.00	Diabetes with end-organ damage	2
2159976019	o/e - left eye preproliferative diabetic retinopathy	2BBS	408412005	2159976019	2BBS.00	Diabetes with end-organ damage	2
2159977011	o/e - right eye proliferative diabetic retinopathy	2BBT	408413000	2159977011	2BBT.00	Diabetes with end-organ damage	2
2159978018	o/e - left eye proliferative diabetic retinopathy	2BBV	408414006	2159978018	2BBV.00	Diabetes with end-organ damage	2
2159979014	o/e - right eye diabetic maculopathy	2BBW	769244003	3698428016	2BBW.00	Diabetes with end-organ damage	2
2159980012	o/e - left eye diabetic maculopathy	2BBX	769245002	3698426017	2BBX.00	Diabetes with end-organ damage	2
451410016	o/e - right diabetic foot at risk	2G5A	308105005	451410016	2G5A.00	Diabetes (uncomplicated)	1
451411017	o/e - left diabetic foot at risk	2G5B	308106006	451411017	2G5B.00	Diabetes (uncomplicated)	1
764201000006110	foot abnormality - diabetes related	2G5C	280137006	417658010	2G5C.00	Diabetes with end-organ damage	2
1666911000000113	o/e - left diabetic foot at increased risk	2G5d	756381000000100	1666911000000113	2G5d.00	Diabetes (uncomplicated)	1
1666931000000117	o/e - right diabetic foot at increased risk	2G5e	756391000000103	1666931000000117	2G5e.00	Diabetes (uncomplicated)	1
1488393013	o/e - right diabetic foot at low risk	2G5E	394671009	1488393013	2G5E.00	Diabetes (uncomplicated)	1
1488404014	o/e - right diabetic foot at moderate risk	2G5F	394682001	1488404014	2G5F.00	Diabetes (uncomplicated)	1
1488394019	o/e - right diabetic foot at high risk	2G5G	394672002	1488394019	2G5G.00	Diabetes (uncomplicated)	1
1488395018	o/e - right diabetic foot - ulcerated	2G5H	394673007	1488395018	2G5H.00	Diabetes with end-organ damage	2
1488397014	o/e - left diabetic foot at low risk	2G5I	394675000	1488397014	2G5I.00	Diabetes (uncomplicated)	1
1488403015	o/e - left diabetic foot at moderate risk	2G5J	394681008	1488403015	2G5J.00	Diabetes (uncomplicated)	1
1488398016	o/e - left diabetic foot at high risk	2G5K	394676004	1488398016	2G5K.00	Diabetes (uncomplicated)	1
1488396017	o/e - left diabetic foot - ulcerated	2G5L	394674001	1488396017	2G5L.00	Diabetes with end-organ damage	2
2532977011	o/e - right chronic diabetic foot ulcer	2G5V	414906009	2532977011	2G5V.00	Diabetes with end-organ damage	2
2532976019	o/e - left chronic diabetic foot ulcer	2G5W	414890007	2532976019	2G5W.00	Diabetes with end-organ damage	2
256133012	o/e - gangrene	2I16	164625009	256133012	2I16.00	Peripheral vascular disease	1
256452010	ecg: myocardial infarction	323	164865005	256452010	323..00	Myocardial infarction	1
256454011	ecg: old myocardial infarction	3232	164867002	256454011	3232.00	Myocardial infarction	1
256460011	ecg: myocardial infarct nos	323Z	164865005	256452010	323Z.00	Myocardial infarction	1
453050019	education score - diabetes	3881	309593006	453050019	3881.00	Diabetes (uncomplicated)	1
616821000006116	diabetes well being questionnaire	3882	273413007	408812019	3882.00	Diabetes (uncomplicated)	1
408811014	diabetes treatment satisfaction questionnaire	3883	765147009	3657199015	3883.00	Diabetes (uncomplicated)	1
833381000006119	new york heart assoc classification heart failure symptoms	388D	762994006	3637504017	388D.00	Congestive heart failure	1
2692996011	basdai - bath ankylosing spondylitis disease activity index	388p	441562009	2817026019	388p.00	Rheumatic disease	1
1766051000006114	royal college physician asthma assessment 3 question score	388t0	448003001	2900370011	388t000	Chronic pulmonary disease	1
1161361000000118	clinical chronic obstructive pulmonary disease questionnaire	38Dd	445192002	2872607015	38Dd.00	Chronic pulmonary disease	1
1176861000000111	chronic obstructive pulmonary disease assessment test	38Dg	446660005	2883862010	38Dg.00	Chronic pulmonary disease	1
1139011000000112	asthma control questionnaire	38DT	763077003	3637798014	38DT.00	Chronic pulmonary disease	1
1139051000000111	mini asthma quality of life questionnaire	38DV	763695004	3643315013	38DV.00	Chronic pulmonary disease	1
2842168015	disease activity score in rheumatoid arthritis	38DZ	763259004	3638311016	38DZ.00	Rheumatic disease	1
2839291014	disease activity score 28 joint in rheumatoid arthritis	38DZ0	441870009	2817437013	38DZ000	Rheumatic disease	1
1782731000006119	"hyperten, abnorm renal/liver funct, stroke, bled score"	38G3	704180000	3012193016	38G3.00	Cerebrovascular disease	1
1883621000006119	gross motor function classification system cerebral palsy	38Gw	707621005	3030870013	38Gw.00	Hemiplegia or paraplegia	2
612761000006118	dementia assessment	3A-2	473203000	2242431000000117	3A...12	Dementia	1
257073011	dementia test	3AD	165320004	257073011	3AD..00	Dementia	1
929501000006112	global deterioration scale: assessment of prim deg dementia	3AE	1087361000000104	2730521000000111	3AE..00	Dementia	1
453910015	hba1 - diabetic control	42c	365845005	1206639010	42c..00	Diabetes (uncomplicated)	1
109871000006113	test request : haemoglobin a1c	EMISREQ|42W..	109871000006109	109871000006113	42W..00	Diabetes (uncomplicated)	1
404444016	hb. a1c - diabetic control	42W	269823000	1206383011	42W..00	Diabetes (uncomplicated)	1
257623014	hb. a1c - diabetic control nos	42WZ	269823000	404444016	42WZ.00	Diabetes (uncomplicated)	1
257855012	hiv positive	43C3-1	165816005	257855012	43C3.11	HIV/AIDS	4
1539901000006113	hiv proviral deoxyribonucleic acid polymerase chain reaction	43h9	1030231000000108	2596281000000115	43h9.00	HIV/AIDS	4
1786467016	hiv 1 nucleic acid detection	43j7	1008351000000102	2551681000000118	43j7.00	HIV/AIDS	4
1540131000006112	human immunodeficiency virus rna/dna ratio	43w3	996081000000100	2559671000000116	43w3.00	HIV/AIDS	4
829161000006113	human immunodeficiency virus antibody level	43WK	1014121000000102	2578951000000112	43WK.00	HIV/AIDS	4
1488663010	squamous cell carcinoma antigen level	44a4	1014611000000103	2557591000000110	44a4.00	Any malignancy	2
259365016	glucose tol. test diabetic	44V3	166928007	2817641015	44V3.00	Diabetes (uncomplicated)	1
219181000006119	pleural fluid: malignant cells	4D56	167973009	260929010	4D56.00	Any malignancy	2
260992011	ascitic fluid: malignant cells	4F32	168021008	260992011	4F32.00	Any malignancy	2
261136015	peritoneal dialysis sample	4I29	168140004	261136015	4I29.00	Renal disease	2
459601018	hiv viral load	4J34	998701000000106	2581941000000113	4J34.00	HIV/AIDS	4
603931000000114	human immunodeficiency virus viral load by log rank	4J3F	998171000000102	2571361000000118	4J3F.00	HIV/AIDS	4
1884191000006113	crv smr - hi grade dyskaryosis? invasive squamous carcinoma	4K2M	887521000000104	2286621000000112	4K2M.00	Any malignancy	2
845051000006111	lymphoma staging system	4M2	106252000	170682015	4M2..00	Any malignancy	2
50949017	lymphoma stage i	4M20	30440004	50949017	4M20.00	Any malignancy	2
126918018	lymphoma stage ii	4M21	76422004	126918018	4M21.00	Any malignancy	2
94699019	lymphoma stage iii	4M22	56944001	94699019	4M22.00	Any malignancy	2
110346017	lymphoma stage iv	4M23	66445009	110346017	4M23.00	Any malignancy	2
170673014	breslow depth staging for melanoma	4M3	106243009	170673014	4M3..00	Any malignancy	2
138122012	clark melanoma level 1	4M70	83284001	138122012	4M70.00	Any malignancy	2
84190018	clark melanoma level 2	4M71	50542000	84190018	4M71.00	Any malignancy	2
35572018	clark melanoma level 3	4M72	21165006	35572018	4M72.00	Any malignancy	2
3704012	clark melanoma level 4	4M73	1556006	3704012	4M73.00	Any malignancy	2
27148012	clark melanoma level 5	4M74	16034002	27148012	4M74.00	Any malignancy	2
2478488018	dialysis fluid urea level	4N0	991511000000108	2570421000000112	4N0..00	Renal disease	2
2478492013	dialysis fluid glucose level	4N2	991521000000102	2558991000000119	4N2..00	Renal disease	2
2159197017	echocardiogram shows left ventricular systolic dysfunction	585f	407596008	2159197017	585f.00	Congestive heart failure	1
2159198010	echocardiogram shows left ventricular diastolic dysfunction	585g	407597004	2159198010	585g.00	Congestive heart failure	1
2111871000000116	abdominal aortic aneurysm screen ultrasound scan abnormal	585I0	809101000000106	2111871000000116	585I000	Peripheral vascular disease	1
2534182016	echocardiogram shows normal left ventricular function	585k	414072005	2534182016	585k.00	Congestive heart failure	1
2160121019	carotid artery doppler abnormal	5C10	408571007	2160121019	5C10.00	Cerebrovascular disease	1
264371011	aids carrier	65QA	699433000	2984517011	65QA.00	HIV/AIDS	4
411809016	hepatitis notification	65V3-1	275847004	411809016	65V3.11	Mild liver disease	1
264418012	notification of aids	65VE	170530008	264418012	65VE.00	HIV/AIDS	4
2117771000000117	asthma self-management plan agreed	661M1	811921000000103	2117771000000117	661M100	Chronic pulmonary disease	1
2117811000000117	chronic kidney disease self-management plan agreed	661M2	811941000000105	2117811000000117	661M200	Renal disease	2
1811661000006110	copd self-management plan agreed	661M3	811961000000106	2117851000000118	661M300	Chronic pulmonary disease	1
2117891000000114	diabetes self-management plan agreed	661M4	811981000000102	2117891000000114	661M400	Diabetes (uncomplicated)	1
2117931000000116	heart failure self-management plan agreed	661M5	812001000000102	2117931000000116	661M500	Congestive heart failure	1
2118011000000114	stroke self-management plan agreed	661M7	812041000000104	2118011000000114	661M700	Cerebrovascular disease	1
2115631000000117	asthma self-management plan review	661N1	810901000000102	2115631000000117	661N100	Chronic pulmonary disease	1
1811741000006117	copd self-management plan review	661N3	810951000000101	2115731000000110	661N300	Chronic pulmonary disease	1
2115761000000117	diabetes self-management plan review	661N4	810961000000103	2115761000000117	661N400	Diabetes (uncomplicated)	1
1780304018	stroke/cva annual review	662e	699270006	2983515011	662e.00	Cerebrovascular disease	1
2126181000000114	stroke annual review	662e-1	699270006	2983500010	662e.11	Cerebrovascular disease	1
2616470012	new york heart association classification - class i	662f	420300004	2616470012	662f.00	Congestive heart failure	1
2616471011	new york heart association classification - class ii	662g	421704003	2616471011	662g.00	Congestive heart failure	1
2616472016	new york heart association classification - class iii	662h	420913000	2616472016	662h.00	Congestive heart failure	1
2616473014	new york heart association classification - class iv	662i	422293003	2616473014	662i.00	Congestive heart failure	1
264499015	stroke monitoring	662M	170600009	264499015	662M.00	Cerebrovascular disease	1
1160471000000111	stroke 6 month review	662M1	519751000000106	1160471000000111	662M100	Cerebrovascular disease	1
2548554013	haemorrhagic stroke monitoring	662o	417506008	2548554013	662o.00	Cerebrovascular disease	1
404741000000119	heart failure 6 month review	662p	247361000000100	404741000000119	662p.00	Congestive heart failure	1
216184014	congestive heart failure monitoring	662T	134378009	216184014	662T.00	Congestive heart failure	1
216185010	peripheral vascular disease monitoring	662U	134379001	216185010	662U.00	Peripheral vascular disease	1
1484918019	heart failure annual review	662W	390885007	1484918019	662W.00	Congestive heart failure	1
411877015	asthma monitoring	663-1	275908000	411877015	663..11	Chronic pulmonary disease	1
264565016	emergency asthma admission since last appointment	663d	708358003	3033971010	663d.00	Chronic pulmonary disease	1
264566015	asthma restricts exercise	663e	170655007	264566015	663e.00	Chronic pulmonary disease	1
264567012	asthma sometimes restricts exercise	663e0	170656008	264567012	663e000	Chronic pulmonary disease	1
264568019	asthma severely restricts exercise	663e1	170657004	264568019	663e100	Chronic pulmonary disease	1
264569010	asthma never restricts exercise	663f	170658009	264569010	663f.00	Chronic pulmonary disease	1
456164012	asthma - currently dormant	663h	312454005	456164012	663h.00	Chronic pulmonary disease	1
456163018	asthma - currently active	663j	312453004	456163018	663j.00	Chronic pulmonary disease	1
216186011	asthma accident and emergency attendance since last visit	663m	708373002	3034176014	663m.00	Chronic pulmonary disease	1
1208977011	asthma treatment compliance satisfactory	663n	370226009	1208977011	663n.00	Chronic pulmonary disease	1
264540018	asthma disturbing sleep	663N	170631002	264540018	663N.00	Chronic pulmonary disease	1
264541019	asthma causing night waking	663N0	170632009	264541019	663N000	Chronic pulmonary disease	1
264542014	asthma disturbs sleep weekly	663N1	170633004	264542014	663N100	Chronic pulmonary disease	1
264543016	asthma disturbs sleep frequently	663N2	170634005	264543016	663N200	Chronic pulmonary disease	1
264544010	asthma not disturbing sleep	663O	170635006	264544010	663O.00	Chronic pulmonary disease	1
264545011	asthma never disturbs sleep	663O0	170636007	264545011	663O000	Chronic pulmonary disease	1
1208976019	asthma treatment compliance unsatisfactory	663p	370225008	1208976019	663p.00	Chronic pulmonary disease	1
264546012	asthma limiting activities	663P	170637003	264546012	663P.00	Chronic pulmonary disease	1
1722581000000112	asthma limits activities 1 to 2 times per month	663P0	771981000000105	1722581000000112	663P000	Chronic pulmonary disease	1
1722651000000119	asthma limits activities 1 to 2 times per week	663P1	772011000000107	1722651000000119	663P100	Chronic pulmonary disease	1
1722731000000116	asthma limits activities most days	663P2	772051000000106	1722731000000116	663P200	Chronic pulmonary disease	1
1212342016	asthma daytime symptoms	663q	373899003	1212342016	663q.00	Chronic pulmonary disease	1
264547015	asthma not limiting activities	663Q	170638008	264547015	663Q.00	Chronic pulmonary disease	1
1208957016	asthma causes night symptoms 1 to 2 times per month	663r	370205009	1208957016	663r.00	Chronic pulmonary disease	1
1208960011	asthma never causes daytime symptoms	663s	370208006	1208960011	663s.00	Chronic pulmonary disease	1
1208954011	asthma causes daytime symptoms 1 to 2 times per month	663t	370202007	1208954011	663t.00	Chronic pulmonary disease	1
1208955012	asthma causes daytime symptoms 1 to 2 times per week	663u	370203002	1208955012	663u.00	Chronic pulmonary disease	1
264550017	asthma management plan given	663U	406162001	2157868010	663U.00	Chronic pulmonary disease	1
1208956013	asthma causes daytime symptoms most days	663v	370204008	1208956013	663v.00	Chronic pulmonary disease	1
264551018	asthma severity	663V	170642006	264551018	663V.00	Chronic pulmonary disease	1
1208971012	occasional asthma	663V0	370220003	1208971012	663V000	Chronic pulmonary disease	1
1208969012	mild asthma	663V1	370218001	1208969012	663V100	Chronic pulmonary disease	1
1208970013	moderate asthma	663V2	370219009	1208970013	663V200	Chronic pulmonary disease	1
1208972017	severe asthma	663V3	370221004	1208972017	663V300	Chronic pulmonary disease	1
1208959018	asthma limits walking up hills or stairs	663w	370207001	1208959018	663w.00	Chronic pulmonary disease	1
264556011	asthma prophylactic medication used	663W	170647000	264556011	663W.00	Chronic pulmonary disease	1
1208958014	asthma limits walking on the flat	663x	370206005	1208958014	663x.00	Chronic pulmonary disease	1
1208962015	number of asthma exacerbations in past year	663y	366874008	490425015	663y.00	Chronic pulmonary disease	1
264676010	diabetic monitoring	66A	170742000	264676010	66A..00	Diabetes (uncomplicated)	1
264677018	initial diabetic assessment	66A1	170743005	264677018	66A1.00	Diabetes (uncomplicated)	1
264678011	follow-up diabetic assessment	66A2	170744004	264678011	66A2.00	Diabetes (uncomplicated)	1
264679015	diabetic on diet only	66A3	170745003	264679015	66A3.00	Diabetes (uncomplicated)	1
264681018	diabetic on oral treatment	66A4	170746002	264681018	66A4.00	Diabetes (uncomplicated)	1
264682013	diabetic on insulin	66A5	170747006	264682013	66A5.00	Diabetes (uncomplicated)	1
264693010	has seen dietician - diabetes	66A8	170752001	264693010	66A8.00	Diabetes (uncomplicated)	1
264695015	understands diet - diabetes	66A9	170753006	264695015	66A9.00	Diabetes (uncomplicated)	1
