medcode	readcode	readterm	condition	score
100532	B622z00	sezary's disease nos	Any malignancy	2
100533	66AQ000	unsuitable for diabetes year of care programme	Diabetes (uncomplicated)	1
100544	BBh2.00	"[m]reticulosarcoma, nodular"	Any malignancy	2
100558	K0A0000	"acute nephritic syndrome, minor glomerular abnormality"	Renal disease	2
100579	Gyu7000	[x]atherosclerosis of other arteries	Peripheral vascular disease	1
100584	B110000	malignant neoplasm of cardiac orifice of stomach	Any malignancy	2
100610	C370400	arthropathy in cystic fibrosis	Chronic pulmonary disease	1
10062	G6z..00	cerebrovascular disease nos	Cerebrovascular disease	1
100625	BB5R500	"[m]carcinoid tumour, nonargentaffin, malignant"	Any malignancy	2
100633	1Z1G.11	ckd stage 3b without proteinuria	Renal disease	2
100639	1M4..00	central post-stroke pain	Cerebrovascular disease	1
100650	AB63600	aspergillus bronchitis	Chronic pulmonary disease	1
100721	B002z00	"malignant neoplasm of upper lip, inner aspect nos"	Any malignancy	2
100733	B51yz00	malignant neoplasm of other part of brain nos	Any malignancy	2
100740	679J100	health education - structured asthma discussion	Chronic pulmonary disease	1
100769	AyuCD00	[x]unspecified human immunodeficiency virus [hiv] disease	HIV/AIDS	4
100770	C10EF12	insulin dependent diabetes mellitus with diabetic cataract	Diabetes with end-organ damage	2
100776	N040C00	rheumatoid arthritis of sacro-iliac joint	Rheumatic disease	1
100781	ByuF300	[x]carcinoma in situ of other parts of respiratory system	Any malignancy	2
10079	G580.12	right heart failure	Congestive heart failure	1
10081	K05..11	chronic uraemia	Renal disease	2
100877	38Dd.00	clinical chronic obstructive pulmonary disease questionnaire	Chronic pulmonary disease	1
100906	B00z000	"malignant neoplasm of lip, unspecified, external"	Any malignancy	2
100914	N040400	rheumatoid arthritis of acromioclavicular joint	Rheumatic disease	1
100918	B073z00	malignant neoplasm of anterior wall of nasopharynx nos	Any malignancy	2
100964	C10F111	type ii diabetes mellitus with ophthalmic complications	Diabetes with end-organ damage	2
10098	C10yy00	other specified diabetes mellitus with other spec comps	Diabetes with end-organ damage	2
10099	F420300	advanced diabetic maculopathy	Diabetes with end-organ damage	2
100994	H410.11	asbestos-induced pleural plaque	Chronic pulmonary disease	1
101042	8BMW.00	issue of chronic obstructive pulmonary disease rescue pack	Chronic pulmonary disease	1
101086	B520z00	malignant neoplasm of cranial nerves nos	Any malignancy	2
101114	B627A00	diffuse non-hodgkin's large cell lymphoma	Any malignancy	2
101124	SP06B00	continuous ambulatory peritoneal dialysis associated perit	Renal disease	2
101133	U60F61A	[x] adverse reaction to antiasthmatic nos	Chronic pulmonary disease	1
101137	G583.11	hfnef - heart failure with normal ejection fraction	Congestive heart failure	1
101138	G583.00	heart failure with normal ejection fraction	Congestive heart failure	1
101177	66At.00	diabetic dietary review	Diabetes (uncomplicated)	1
101190	66AQ100	declined consent for diabetes year of care programme	Diabetes (uncomplicated)	1
101191	66j0.00	human immunodeficiency virus annual review	HIV/AIDS	4
101195	G714300	aneurysm of suprarenal aorta	Peripheral vascular disease	1
101198	4M70.00	clark melanoma level 1	Any malignancy	2
101311	C10EC12	insulin dependent diabetes mellitus with polyneuropathy	Diabetes with end-organ damage	2
10134	BB29.00	[m]squamous cell carcinoma in situ nos	Any malignancy	2
101358	K0A0400	ac neph syn difus endocaplry prolifrative glomerulonephritis	Renal disease	2
101379	G714200	infrarenal abdominal aortic aneurysm	Peripheral vascular disease	1
101408	9No7.00	seen in cystic fibrosis clinic	Chronic pulmonary disease	1
101429	BBj0.11	"[m]lymphogranuloma, malignant"	Any malignancy	2
101453	Kyu1000	[x]other chronic tubulo-interstitial nephritis	Renal disease	2
101455	9OLN.00	diabetes monitor invitation by sms (short message service)	Diabetes (uncomplicated)	1
101456	8IAs.00	diabetic dietary review declined	Diabetes (uncomplicated)	1
101465	B62z800	unspec malig neop lymphoid/histiocytic of multiple sites	Any malignancy	2
101530	B616z00	"hodgkin's disease, lymphocytic depletion nos"	Any malignancy	2
10154	G580.13	right ventricular failure	Congestive heart failure	1
101561	ByuF900	"[x]carcinoma in situ of skin, unspecified"	Any malignancy	2
101572	K0A4X00	"isolated proteinuria, with oth specif morpholog changes"	Renal disease	2
101608	B4A1100	malignant neoplasm of ureteropelvic junction	Any malignancy	2
101662	B565200	secondary and unspec malig neop circumflex iliac ln	Metastatic solid tumour	4
101668	Byu5400	"[x]malignant neoplasm/peripheral nerves of trunk,unspecified"	Any malignancy	2
101707	B001z00	"malignant neoplasm of lower lip, vermilion border nos"	Any malignancy	2
101715	B616700	"hodgkin's disease, lymphocytic depletion of spleen"	Any malignancy	2
101728	66As.00	diabetic on subcutaneous treatment	Diabetes (uncomplicated)	1
101735	C10E212	insulin-dependent diabetes mellitus with neurological comps	Diabetes with end-organ damage	2
101736	4N0..00	dialysis fluid urea level	Renal disease	2
101753	B03y.00	malignant neoplasm of other sites of gum	Any malignancy	2
101756	7L1A011	thomas intravascular shunt for dialysis	Renal disease	2
101778	B442.00	malignant neoplasm of broad ligament	Any malignancy	2
101797	7A5Az00	transluminal stent assisted coil embolisation aneurysm nos	Peripheral vascular disease	1
101801	66At100	type ii diabetic dietary review	Diabetes (uncomplicated)	1
101805	B507000	malignant neoplasm of lacrimal sac	Any malignancy	2
101834	9h43.00	excepted from diabetes qual indicators: service unavailable	Diabetes (uncomplicated)	1
101835	7A15y00	other specified other emergency bypass of segment of aorta	Peripheral vascular disease	1
101836	A788600	human immunodeficiency virus with secondary cancers	HIV/AIDS	4
101866	G73z012	vascular claudication	Peripheral vascular disease	1
101881	2BBr.00	impaired vision due to diabetic retinopathy	Diabetes with end-organ damage	2
101907	B182.00	overlapping malign lesion of retroperitoneum and peritoneum	Any malignancy	2
101910	7A41.11	other bypass of iliac artery by anastomosis	Peripheral vascular disease	1
101912	Z1A..00	dialysis training	Renal disease	2
101923	BBJ1.11	[m]fibroliposarcoma	Any malignancy	2
101954	AyuJ900	[x]sequelae of viral hepatitis	Mild liver disease	1
101988	B060100	malignant neoplasm of palatine tonsil	Any malignancy	2
101999	Eu84311	[x]dementia infantalis	Dementia	1
102088	7P20300	delivery of rehabilitation for rheumatoid arthritis	Rheumatic disease	1
102112	C10E611	type i diabetes mellitus with gangrene	Diabetes with end-organ damage	2
102116	4M73.00	clark melanoma level 4	Any malignancy	2
102117	AyuC300	[x]hiv disease resulting in multiple infections	HIV/AIDS	4
102142	B013000	malignant neoplasm of anterior 2/3 of tongue ventral surface	Any malignancy	2
102145	B322100	malignant melanoma of external auditory meatus	Any malignancy	2
102151	B060200	malignant neoplasm of overlapping lesion of tonsil	Any malignancy	2
102158	B625200	letterer-siwe disease of intrathoracic lymph nodes	Any malignancy	2
102163	C10ED12	insulin dependent diabetes mellitus with nephropathy	Diabetes with end-organ damage	2
102170	66Yp.00	asthma review using roy colleg of physicians three questions	Chronic pulmonary disease	1
102177	J140200	acute gastrojejunal ulcer with perforation	Peptic ulcer disease	1
102201	C10FC11	type ii diabetes mellitus with nephropathy	Diabetes with end-organ damage	2
102205	B072z00	malignant neoplasm of lateral wall of nasopharynx nos	Any malignancy	2
102209	38DV.00	mini asthma quality of life questionnaire	Chronic pulmonary disease	1
102210	7L1f000	extracorporeal albumin haemodialysis	Renal disease	2
102252	AyuCC00	[x]hiv disease resulting in other specified conditions	HIV/AIDS	4
102301	1787	asthma trigger - seasonal	Chronic pulmonary disease	1
102306	7A58100	percutaneous transluminal coil embolisation aneurysm medium	Peripheral vascular disease	1
102341	1781	asthma trigger - pollen	Chronic pulmonary disease	1
102395	66Yr.00	asthma causes symptoms most nights	Chronic pulmonary disease	1
102400	66Yq.00	asthma causes night time symptoms 1 to 2 times per week	Chronic pulmonary disease	1
102417	BB3C.00	[m]superficial basal cell carcinoma	Any malignancy	2
102434	66Au.00	diabetic erectile dysfunction review	Diabetes (uncomplicated)	1
102449	1789	asthma trigger - respiratory infection	Chronic pulmonary disease	1
102490	66Av.00	diabetic assessment of erectile dysfunction	Diabetes with end-organ damage	2
102547	BB3D.00	"[m]basal cell carcinoma, nodular"	Any malignancy	2
102585	8HgD.00	discharge from heart failure nurse service	Congestive heart failure	1
102593	BB96.00	[m]noninfiltrating intraductal papillary adenocarcinoma	Any malignancy	2
102594	B627E00	diffuse large b-cell lymphoma	Any malignancy	2
102611	66At111	type 2 diabetic dietary review	Diabetes (uncomplicated)	1
102620	C10EL11	type i diabetes mellitus with persistent microalbuminuria	Diabetes with end-organ damage	2
102684	7A10400	bypass aorta anastomosis axillary artery bi femoral arteries	Peripheral vascular disease	1
102685	66YB000	chronic obstructive pulmonary disease 3 monthly review	Chronic pulmonary disease	1
102688	ByuD400	[x]other malignant immunoproliferative diseases	Any malignancy	2
102704	66At000	type i diabetic dietary review	Diabetes (uncomplicated)	1
102708	ByuF100	[x]carcinoma in situ of other specified digestive organs	Any malignancy	2
102713	663P000	asthma limits activities 1 to 2 times per month	Chronic pulmonary disease	1
102715	B625000	letterer-siwe disease of unspecified sites	Any malignancy	2
102719	Gyu7200	"[x]aortic aneurysm of unspecified site, nonruptured"	Peripheral vascular disease	1
102725	Gyu7100	"[x]aortic aneurysm of unspecified site, ruptured"	Peripheral vascular disease	1
10274	8B3j.00	asthma medication review	Chronic pulmonary disease	1
102740	C108112	type 1 diabetes mellitus with ophthalmic complications	Diabetes with end-organ damage	2
102767	67IJ100	pre-conception advice for diabetes mellitus	Diabetes (uncomplicated)	1
102768	9NiZ.00	did not attend diabetes foot screening	Diabetes (uncomplicated)	1
10283	B01..00	malignant neoplasm of tongue	Any malignancy	2
102871	178B.00	asthma trigger - exercise	Chronic pulmonary disease	1
102873	N04y300	remitting seronegative symmetrical synovitis pitting oedema	Rheumatic disease	1
102888	663P100	asthma limits activities 1 to 2 times per week	Chronic pulmonary disease	1
102922	C370800	cystic fibrosis related cirrhosis	Chronic pulmonary disease	1
102946	C10E012	insulin-dependent diabetes mellitus with renal complications	Diabetes with end-organ damage	2
102947	K13yB00	ischaemic nephropathy	Renal disease	2
102949	B312000	malignant neoplasm of connective and soft tissue of hip	Any malignancy	2
102952	1783	asthma trigger - warm air	Chronic pulmonary disease	1
103007	66YB100	chronic obstructive pulmonary disease 6 monthly review	Chronic pulmonary disease	1
103034	BB5j500	"[m]endometrioid adenofibroma, malignant"	Any malignancy	2
103044	7A45y00	emergency replacement aneurysmal femoral/popliteal artery os	Peripheral vascular disease	1
103066	BB3G.00	[m]pigmented basal cell carcinoma	Any malignancy	2
103100	ZV10y13	[v]personal history of malignant neoplasm of eye	Any malignancy	2
103178	BB3F.00	"[m]basal cell carcinoma, infiltrative"	Any malignancy	2
103224	C370500	cystic fibrosis with distal intestinal obstruction syndrome	Chronic pulmonary disease	1
103227	Q207.00	other cranial or peripheral nerve palsy due to birth trauma	Hemiplegia or paraplegia	2
103245	B601700	lymphosarcoma of spleen	Any malignancy	2
103318	679J200	health education - structured patient focused asthma discuss	Chronic pulmonary disease	1
103321	1786	asthma trigger - animals	Chronic pulmonary disease	1
10334	8CP0.00	cancer care plan discussed with patient	Any malignancy	2
103347	7A40.11	replacement of aneurysmal iliac artery by anastomosis	Peripheral vascular disease	1
10335	1O0..00	cancer confirmed	Any malignancy	2
103353	B62z300	unspec malig neop lymphoid/histiocytic intra-abdominal nodes	Any malignancy	2
103354	B308z00	malignant neoplasm of short bones of leg nos	Any malignancy	2
103400	9kf1.11	referred for copd structured smoking assessment	Chronic pulmonary disease	1
103427	7A1C500	endovas insertion of stent graft for aorto-uniiliac aneurysm	Peripheral vascular disease	1
103431	7A5B000	percutaneous translumin liquid polymer embolisation aneurysm	Peripheral vascular disease	1
103440	BB3E.00	"[m]basal cell carcinoma, micronodular"	Any malignancy	2
103445	8Hla.00	referral to dementia care advisor	Dementia	1
103472	H563200	pulmonary fibrosis	Chronic pulmonary disease	1
103475	H564.11	cryptogenic organising pneumonia	Chronic pulmonary disease	1
103494	14B3.12	history of chronic obstructive pulmonary disease	Chronic pulmonary disease	1
103532	K0A5500	[x]heredtry nephrpthy nec difus mesangiocapilry glomneph	Renal disease	2
103558	8CeD.00	preferred place of care for next exacerbation of copd	Chronic pulmonary disease	1
103559	H563300	usual interstitial pneumonitis	Chronic pulmonary disease	1
10358	B222.00	"malignant neoplasm of upper lobe, bronchus or lung"	Any malignancy	2
103612	66Ys.00	asthma never causes night symptoms	Chronic pulmonary disease	1
103613	66f3.00	aortic aneurysm monitoring	Peripheral vascular disease	1
103631	388t000	royal college physician asthma assessment 3 question score	Chronic pulmonary disease	1
103637	H35..11	hypersensitivity pneumonitis	Chronic pulmonary disease	1
103678	8BMa000	chronic obstructiv pulmonary disease medication optimisation	Chronic pulmonary disease	1
103690	38G3.00	"hyperten, abnorm renal/liver funct, stroke, bled score"	Cerebrovascular disease	1
103708	BBJ6.00	[m]round cell liposarcoma	Any malignancy	2
103731	7A46.15	other replacement of aneurysmal superficial femoral artery	Peripheral vascular disease	1
103732	8CMK.00	has heart failure management plan	Congestive heart failure	1
103733	H320311	tension pneumatocoele	Chronic pulmonary disease	1
103743	8IE2.00	diabetes care plan declined	Diabetes (uncomplicated)	1
10375	B810811	carcinoma in situ of glottis	Any malignancy	2
103753	H563.13	idiopathic pulmonary fibrosis	Chronic pulmonary disease	1
103757	Kyu1E00	"[x]tubulo-interstit nephritis, not specif as acute or chron"	Renal disease	2
103758	8Hkw.00	referral to copd community nursing team	Chronic pulmonary disease	1
103760	9kf2.11	copd structured smoking assessment declined	Chronic pulmonary disease	1
103777	294B.00	worsening limb spasticity	Hemiplegia or paraplegia	2
103785	H58y500	respiratory bronchiolitis associated interstitial lung dis	Chronic pulmonary disease	1
103796	B051.00	malignant neoplasm of vestibule of mouth	Any malignancy	2
103798	9b92000	diabetic medicine	Diabetes (uncomplicated)	1
1038	C100011	insulin dependent diabetes mellitus	Diabetes (uncomplicated)	1
103813	1788	asthma trigger - cold air	Chronic pulmonary disease	1
103829	38DZ000	disease activity score 28 joint in rheumatoid arthritis	Rheumatic disease	1
103864	9kf0.11	copd patient unsuitable for pulmonary rehabilitation	Chronic pulmonary disease	1
10387	B830000	lobular carcinoma in situ of breast	Any malignancy	2
103902	C10FG11	type ii diabetes mellitus with arthropathy	Diabetes with end-organ damage	2
103935	1IA..00	no evidence of diabetic nephropathy	Diabetes (uncomplicated)	1
103944	178A.00	asthma trigger - airborne dust	Chronic pulmonary disease	1
103945	1785	asthma trigger - damp	Chronic pulmonary disease	1
103946	B220100	malignant neoplasm of mucosa of trachea	Any malignancy	2
103952	1784	asthma trigger - emotion	Chronic pulmonary disease	1
103955	1782	asthma trigger - tobacco smoke	Chronic pulmonary disease	1
103988	7A45.12	emergency replacement of aneurysmal common femoral artery	Peripheral vascular disease	1
103995	B545z00	malignant neoplasm of aortic body or paraganglia nos	Any malignancy	2
103998	663P200	asthma limits activities most days	Chronic pulmonary disease	1
104025	B337600	malignant neoplasm of skin of heel	Any malignancy	2
104049	7B0Fz00	interventions associated with transplantation of kidney nos	Renal disease	2
10411	C333000	waldenstrom's macroglobulinaemia	Any malignancy	2
104117	661M300	copd self-management plan agreed	Chronic pulmonary disease	1
104128	B31z000	kaposi's sarcoma of soft tissue	Any malignancy	2
104134	AyuC400	[x]hiv disease resulting/other infectious+parasitic diseases	HIV/AIDS	4
104147	BBQ4.11	[m]infantile embryonal carcinoma	Any malignancy	2
104152	B628.00	follicular lymphoma	Any malignancy	2
104155	1JA2.00	suspected dementia	Dementia	1
104169	661N300	copd self-management plan review	Chronic pulmonary disease	1
10418	C10ED00	type 1 diabetes mellitus with nephropathy	Diabetes with end-organ damage	2
104201	SP08H00	acute rejection of renal transplant	Renal disease	2
104225	Q434100	giant cell hepatitis causing neonatal jaundice	Mild liver disease	1
104235	U60F611	[x] adverse reaction to antiasthmatics	Chronic pulmonary disease	1
104265	9e03.00	gp ooh service notified of copd care plan	Chronic pulmonary disease	1
104275	G584.00	right ventricular failure	Congestive heart failure	1
104287	8Hlc.00	referral to community diabetes service	Diabetes (uncomplicated)	1
104291	B61..11	hodgkin lymphoma	Any malignancy	2
104311	G72B.00	dissection of artery	Peripheral vascular disease	1
104323	C10F511	type ii diabetes mellitus with gangrene	Diabetes with end-organ damage	2
104324	B595.00	malignant tumour of unknown origin	Any malignancy	2
104333	G5yyC00	diastolic dysfunction	Congestive heart failure	1
104341	A70A.00	hepatitis c genotype 1	Mild liver disease	1
104346	A70C.00	hepatitis c genotype 3	Mild liver disease	1
104363	N00y.11	fibrosclerosis - systemic	Rheumatic disease	1
104374	67D8.00	provision of diabetes clinical summary	Diabetes (uncomplicated)	1
104386	B62F000	small cell b-cell lymphoma	Any malignancy	2
104391	B627.11	non-hodgkin lymphoma	Any malignancy	2
104412	B62F200	lymphoblastic (diffuse) lymphoma	Any malignancy	2
104418	B630400	solitary plasmacytoma	Any malignancy	2
104453	66At011	type 1 diabetic dietary review	Diabetes (uncomplicated)	1
104466	L179.00	hiv disease complicating pregnancy childbirth puerperium	HIV/AIDS	4
104467	585I000	abdominal aortic aneurysm screen ultrasound scan abnormal	Peripheral vascular disease	1
104480	B58y800	secondary malignant neoplasm of epididymis and vas deferens	Metastatic solid tumour	4
104481	8CMV.00	has chronic obstructive pulmonary disease care plan	Chronic pulmonary disease	1
104484	B61C.00	other classical hodgkin lymphoma	Any malignancy	2
104498	F2B..00	cerebral palsy	Hemiplegia or paraplegia	2
104557	H465.00	chemical-induced pulmonary oedema	Chronic pulmonary disease	1
104579	A70G.00	acute hepatitis c	Mild liver disease	1
104580	F2B0.00	spastic quadriplegic cerebral palsy	Hemiplegia or paraplegia	2
104586	7L1B200	flushing of peritoneal dialysis catheter	Renal disease	2
104608	H3A..00	end stage chronic obstructive airways disease	Chronic pulmonary disease	1
104609	4M71.00	clark melanoma level 2	Any malignancy	2
104619	K053.00	chronic kidney disease stage 3	Renal disease	2
104620	B62F100	mantle cell lymphoma	Any malignancy	2
104630	SP08G00	acute rejection of renal transplant - grade iii	Renal disease	2
104638	8IEC.00	ref multidisciplinary stroke function improvement declined	Cerebrovascular disease	1
104639	C10FF11	type ii diabetes mellitus with peripheral angiopathy	Diabetes with end-organ damage	2
104654	F2Bz.00	cerebral palsy nos	Hemiplegia or paraplegia	2
104686	J632300	hepatitis in toxoplasmosis	Mild liver disease	1
104699	BBy2.00	"[m]no microscopic confirmation tumour, clinically metastatic"	Metastatic solid tumour	4
104710	9NgP.11	on copd (chr obstruc pulmonary disease) supportv cre pathway	Chronic pulmonary disease	1
104717	A789311	hiv disease resulting in pneumocystis jirovecii pneumonia	HIV/AIDS	4
104719	Z1A1.00	peritoneal dialysis training	Renal disease	2
104720	BBP3.11	[m]sarcomatoid mesothelioma	Any malignancy	2
104743	B613800	"hodgkin's, lymphocytic-histiocytic pred of multiple sites"	Any malignancy	2
104775	F230111	spastic diplegic cerebral palsy	Hemiplegia or paraplegia	2
104782	F2By.00	other cerebral palsy	Hemiplegia or paraplegia	2
104790	B601800	lymphosarcoma of lymph nodes of multiple sites	Any malignancy	2
104815	7A15z00	other emergency bypass of segment of aorta nos	Peripheral vascular disease	1
104828	F23y100	flaccid infantile cerebral palsy	Hemiplegia or paraplegia	2
104862	B62E300	cutaneous t-cell lymphoma	Any malignancy	2
10487	663j.00	asthma - currently active	Chronic pulmonary disease	1
104876	G5yyB00	right ventricular diastolic dysfunction	Congestive heart failure	1
104892	A70D.00	hepatitis c genotype 4	Mild liver disease	1
104895	B617.00	nodular lymphocyte predominant hodgkin lymphoma	Any malignancy	2
104905	SP08D00	acute-on-chronic rejection of renal transplant	Renal disease	2
104915	H58y700	interstitial lung disease due to connective tissue disease	Chronic pulmonary disease	1
104934	B62Ew00	other mature t/nk-cell lymphoma	Any malignancy	2
104939	B64y500	adult t-cell lymphoma/leukaemia (htlv-1-associated)	Any malignancy	2
104954	K08y700	acute infective interstitial nephritis	Renal disease	2
104957	G72A.00	dissection of other specified arteries	Peripheral vascular disease	1
104960	SP08E00	acute rejection of renal transplant - grade i	Renal disease	2
104963	K054.00	chronic kidney disease stage 4	Renal disease	2
104973	BB62z00	[m]apocrine adenoma or adenocarcinoma nos	Any malignancy	2
104981	K05..13	chronic kidney disease	Renal disease	2
104985	9NgP.00	on chronic obstructive pulmonary disease supprtv cre pathway	Chronic pulmonary disease	1
105002	679W100	education about deteriorating heart failure	Congestive heart failure	1
105020	B628300	follicular lymphoma grade 3a	Any malignancy	2
105038	B627G00	mediastinal (thymic) large b-cell lymphoma	Any malignancy	2
10504	G64z300	right sided cerebral infarction	Cerebrovascular disease	1
105040	9kl..00	hiv pos gen health check serv declind - enhanc service admin	HIV/AIDS	4
105073	BBN2.00	"[m]synovial sarcoma, spindle cell type"	Any malignancy	2
105083	B62D.00	histiocytic sarcoma	Any malignancy	2
105085	B62E.00	t/nk-cell lymphoma	Any malignancy	2
105095	B628100	follicular lymphoma grade 2	Any malignancy	2
105100	662M100	stroke 6 month review	Cerebrovascular disease	1
105117	G728.00	dissection of artery of lower extremity	Peripheral vascular disease	1
105133	F2B1.00	spastic hemiplegic cerebral palsy	Hemiplegia or paraplegia	2
105151	K055.00	chronic kidney disease stage 5	Renal disease	2
105166	BBDB.11	[m]glomoid sarcoma	Any malignancy	2
105179	7A59200	perc translum balloon assist coil embolisat single aneurysm	Peripheral vascular disease	1
105203	B620200	nodular lymphoma of intrathoracic lymph nodes	Any malignancy	2
105207	8HTE100	referral to community diabetes clinic	Diabetes (uncomplicated)	1
105240	294E.00	upper limb flaccidity	Hemiplegia or paraplegia	2
105275	BBV..13	[m]periosteal osteogenic sarcoma	Any malignancy	2
105296	BBTD200	"[m]haemangiopericytoma, malignant"	Any malignancy	2
105302	K08yA00	proteinuric diabetic nephropathy	Diabetes with end-organ damage	2
105317	G734.00	peripheral arterial disease	Peripheral vascular disease	1
105324	A789800	hiv disease resulting in multiple malignant neoplasms	HIV/AIDS	4
105328	7B00212	cadaveric renal transplant	Renal disease	2
105335	B62A.00	sarcoma of dendritic cells	Any malignancy	2
105337	C10E811	type i diabetes mellitus - poor control	Diabetes (uncomplicated)	1
105375	B62E800	blastic nk-cell lymphoma	Any malignancy	2
105383	K052.00	chronic kidney disease stage 2	Renal disease	2
105388	B498.00	local recurrence of malignant tumour of urinary bladder	Any malignancy	2
10539	J61z.00	chronic liver disease nos	Mild liver disease	1
105392	K051.00	chronic kidney disease stage 1	Renal disease	2
10541	BB22.00	[m]papillary carcinoma nos	Any malignancy	2
105420	661N100	asthma self-management plan review	Chronic pulmonary disease	1
105436	SP0G.00	anaphylactoid reaction due to haemodialysis	Renal disease	2
105457	8CMW500	chronic obstructive pulmonary disease care pathway	Chronic pulmonary disease	1
105472	B614700	"hodgkin's disease, nodular sclerosis of spleen"	Any malignancy	2
105475	B308.00	malignant neoplasm of short bones of leg	Any malignancy	2
105488	B36..00	local recurrence of malignant tumour of breast	Any malignancy	2
105507	66HB000	rheumatoid arthritis annual review	Rheumatic disease	1
105520	8Hd6.00	admission to stroke unit	Cerebrovascular disease	1
105542	8CeC.00	preferred place of care for next exacerbation heart failure	Congestive heart failure	1
105559	B62E100	"anaplastic large cell lymphoma, alk-positive"	Any malignancy	2
105585	8CMW700	diabetes clinical pathway	Diabetes (uncomplicated)	1
1056	B5z..00	malignant neoplasm of other and unspecified site nos	Metastatic solid tumour	4
105611	Gyu9400	[x]oesophageal varices in diseases classified elsewhere	Moderate or severe liver disease	3
105613	B161300	malignant neoplasm of sphincter of oddi	Any malignancy	2
10562	G307100	acute non-st segment elevation myocardial infarction	Myocardial infarction	1
105621	Gyu7800	[x]aneurysm of aorta in diseases classified elsewhere	Peripheral vascular disease	1
105636	B62E900	angioimmunoblastic t-cell lymphoma	Any malignancy	2
105664	A70B.00	hepatitis c genotype 2	Mild liver disease	1
105674	661M100	asthma self-management plan agreed	Chronic pulmonary disease	1
105709	B62E600	enteropathy-associated t-cell lymphoma	Any malignancy	2
105723	K000100	crescentic glomerulonephritis	Renal disease	2
105724	SP08N00	unexplained episode of renal transplant dysfunction	Renal disease	2
105738	G657.00	carotid territory transient ischaemic attack	Cerebrovascular disease	1
105740	2G5d.00	o/e - left diabetic foot at increased risk	Diabetes (uncomplicated)	1
105741	2G5e.00	o/e - right diabetic foot at increased risk	Diabetes (uncomplicated)	1
105742	G72D200	aneurysm of anastomotic site of dialysis av fistula	Renal disease	2
105751	K08y513	acute tubulo-interstitial nephritis	Renal disease	2
105760	G72C.00	ruptured aneurysm of dialysis vascular access	Renal disease	2
105784	C109912	type 2 diabetes mellitus without complication	Diabetes (uncomplicated)	1
105787	7B00600	xenograft renal transplant	Renal disease	2
105797	B304100	malignant neoplasm of acromion	Any malignancy	2
105811	SP08R00	renal transplant rejection	Renal disease	2
105841	B618.00	nodular sclerosis classical hodgkin lymphoma	Any malignancy	2
105859	K0A8.00	rapidly progressive glomerulonephritis	Renal disease	2
105868	7A5A200	perc trans stent assisted coil embolisation single aneurysm	Peripheral vascular disease	1
10588	BBK0200	[m]leiomyosarcoma nos	Any malignancy	2
105889	B628000	follicular lymphoma grade 1	Any malignancy	2
105917	G727.00	dissection of iliac artery	Peripheral vascular disease	1
105925	B62E700	subcutaneous panniculitic t-cell lymphoma	Any malignancy	2
105937	8IEQ.00	referral to community diabetes specialist nurse declined	Diabetes (uncomplicated)	1
