medcodeid	term	originalreadcode	snomedctconceptid	snomedctdescriptionid	readcode	condition	score
1765681000000110	history of chronic obstructive pulmonary disease	14B3-2	270473001	1765681000000110	14B3.12	Chronic pulmonary disease	1
251716013	h/o: asthma	14B4	161527007	251716013	14B4.00	Chronic pulmonary disease	1
397833011	h/o: peptic ulcer	14C1	266998003	397833011	14C1.00	Peptic ulcer disease	1
411541019	h/o: duodenal ulcer	14C1-1	275547005	411541019	14C1.11	Peptic ulcer disease	1
411542014	h/o: gastric ulcer	14C1-2	275548000	411542014	14C1.12	Peptic ulcer disease	1
251732011	h/o: liver disease	14C5	161535005	251732011	14C5.00	Liver disease	1
251763010	h/o: nephritis	14D1	161546008	251763010	14D1.00	Renal disease	1
453100011	h/o: admission in last year for diabetes foot problem	14F4	309635005	453100011	14F4.00	Diabetes with end-organ damage	1
251794010	h/o: rheumatoid arthritis	14G1	161567008	251794010	14G1.00	Rheumatoid arthritis and collagen diseases	1
2156971000000110	h/o hepatitis c antiviral drug therapy	14i	829691000000100	2156971000000110	14i..00	Liver disease	1
451376017	h/o: peripheral vascular disease procedure	14NB	308071004	451376017	14NB.00	Peripheral vascular disease	1
251923016	h/o: kidney recipient	14S2	161665007	251923016	14S2.00	Renal disease	1
251925011	h/o: heart valve recipient	14S4	161667004	251925011	14S4.00	Valvular disease	1
251936016	h/o: artificial heart valve	14T3	161677002	251936016	14T3.00	Valvular disease	1
251954017	h/o: cardiac pacemaker in situ	14V1	161692001	251954017	14V1.00	Cardiac arrythmia	1
251955016	h/o: cardiac pacemaker	14V1-1	161692001	251955016	14V1.11	Cardiac arrythmia	1
251957012	h/o: renal dialysis	14V2	161693006	251957012	14V2.00	Renal disease	1
251956015	h/o: kidney dialysis	14V2-1	161693006	251956015	14V2.11	Renal disease	1
397867018	abnormal weight loss	1625	267024001	397867018	1625.00	Weight loss	1
437661000006118	abnormal weight loss - symptom	1625-1	267024001	397867018	1625.11	Weight loss	1
1715211000000118	unintentional weight loss	1627	448765001	2899697019	1627.00	Weight loss	1
375462013	claudication distance	16I	252094004	375462013	16I..00	Peripheral vascular disease	1
655601000006113	exercise induced asthma	173A	31387002	52467014	173A.00	Chronic pulmonary disease	1
95786019	occupational asthma	173c	57607007	95786019	173c.00	Chronic pulmonary disease	1
983771000006118	work aggravated asthma	173d	57607007	95786019	173d.00	Chronic pulmonary disease	1
252423010	c/o bronchial catarrh	1761	161960000	252423010	1761	Chronic pulmonary disease	1
1780194017	asthma trigger	178	400987003	1780194017	178..00	Chronic pulmonary disease	1
929091000006111	aspirin induced asthma	1780	407674008	2159273015	1780	Chronic pulmonary disease	1
1739151000000116	asthma trigger - pollen	1781	340911000000109	1739151000000116	1781.00	Chronic pulmonary disease	1
1739161000000118	asthma trigger - tobacco smoke	1782	340921000000103	1739161000000118	1782.00	Chronic pulmonary disease	1
1739171000000113	asthma trigger - warm air	1783	340931000000101	1739171000000113	1783.00	Chronic pulmonary disease	1
636271000000117	asthma trigger - emotion	1784	201211000000107	306001000000115	1784.00	Chronic pulmonary disease	1
636251000000114	asthma trigger - damp	1785	201201000000105	305981000000116	1785.00	Chronic pulmonary disease	1
305611000000115	asthma trigger - animals	1786	201051000000101	636211000000110	1786.00	Chronic pulmonary disease	1
636311000000117	asthma trigger - seasonal	1787	201041000000104	305591000000111	1787.00	Chronic pulmonary disease	1
636231000000119	asthma trigger - cold air	1788	201191000000108	305961000000113	1788.00	Chronic pulmonary disease	1
636291000000118	asthma trigger - respiratory infection	1789	201031000000108	305571000000112	1789.00	Chronic pulmonary disease	1
1739131000000111	asthma trigger - airborne dust	178A	340891000000106	1739131000000111	178A.00	Chronic pulmonary disease	1
1739141000000119	asthma trigger - exercise	178B	340901000000107	1739141000000119	178B.00	Chronic pulmonary disease	1
2164006016	depressed	1B17	366979004	490537016	1B17.00	Depression	1
2549849017	alcohol induced hallucinations	1B1c	417633001	2549849017	1B1c.00	Alcohol abuse	1
1488626018	symptoms of depression	1B1U	394924000	1488626018	1B1U.00	Depression	1
1489345013	transient epileptic amnesia	1B1W	395689002	1489345013	1B1W.00	Other neurological disorders	1
253000011	paralysis present	1B33	162241004	253000011	1B33.00	Paralysis	1
480834016	delusions	1BH	2073000	480834016	1BH..00	Psychoses	1
4569010	delusion	1BH-1	2073000	4569010	1BH..11	Psychoses	1
1452014	delusion of persecution	1BH0	216004	1452014	1BH0.00	Psychoses	1
369805011	grandiose delusions	1BH1	247667002	369805011	1BH1.00	Psychoses	1
492910018	ideas of reference	1BH2	41189006	492910018	1BH2.00	Psychoses	1
2548181016	paranoid ideation	1BH3	417233008	2548181016	1BH3.00	Psychoses	1
2164005017	depressed mood	1BT	366979004	490537016	1BT..00	Depression	1
459732012	pain from metastases	1D18	315241008	459732012	1D18.00	Metastatic cancer	1
299281000000119	complaining of weight loss	1D1A	198511000000103	299281000000119	1D1A.00	Weight loss	1
315971000000115	chronic obstructive pulmonary disease excluded by spirometry	1I70	205731000000109	315971000000115	1I70.00	Chronic pulmonary disease	1
1752811000000118	no evidence of diabetic nephropathy	1IA	783901000000107	1752811000000118	1IA..00	Diabetes (uncomplicated)	1
314291000000112	suspected cerebrovascular disease	1JA1	205001000000100	314291000000112	1JA1.00	Other neurological disorders	1
413750011	central post-stroke pain	1M4	277286006	413750011	1M4..00	Other neurological disorders	1
1488798019	cancer confirmed	1O0	395099008	1488798019	1O0..00	Solid tumour or leukaemia	1
1488804017	heart failure confirmed	1O1	395105005	1488804017	1O1..00	Congestive heart failure	1
1780388018	asthma confirmed	1O2	401193004	1780388018	1O2..00	Chronic pulmonary disease	1
2159227017	epilepsy confirmed	1O30	407627004	2159227017	1O30.00	Other neurological disorders	1
2157096015	manic mood	1S42	405273008	2157096015	1S42.00	Psychoses	1
497451000000119	history of substance misuse	1T	371422002	497451000000119	1T...00	Drug abuse	1
512631000000118	h/o heroin misuse	1T0	279441000000100	512631000000118	1T0..00	Drug abuse	1
512241000000113	h/o daily heroin misuse	1T00	277221000000102	512241000000113	1T00.00	Drug abuse	1
512251000000111	h/o weekly heroin misuse	1T01	277251000000107	512251000000111	1T01.00	Drug abuse	1
475531000000111	previous history of heroin misuse	1T02	277281000000101	475531000000111	1T02.00	Drug abuse	1
512261000000114	h/o infrequent heroin misuse	1T03	277311000000103	512261000000114	1T03.00	Drug abuse	1
512101000000118	h/o methadone misuse	1T1	277091000000105	512101000000118	1T1..00	Drug abuse	1
512271000000119	h/o daily methadone misuse	1T10	277341000000102	512271000000119	1T10.00	Drug abuse	1
512281000000117	h/o weekly methadone misuse	1T11	277371000000108	512281000000117	1T11.00	Drug abuse	1
475771000000117	h/o infrequent methadone misuse	1T12	277401000000105	475771000000117	1T12.00	Drug abuse	1
475831000000113	previous history of methadone misuse	1T13	277431000000104	475831000000113	1T13.00	Drug abuse	1
512641000000110	h/o ecstasy misuse	1T2	279451000000102	512641000000110	1T2..00	Drug abuse	1
512301000000116	h/o daily ecstasy misuse	1T20	277461000000109	512301000000116	1T20.00	Drug abuse	1
512311000000119	h/o weekly ecstasy misuse	1T21	277491000000103	512311000000119	1T21.00	Drug abuse	1
512321000000113	h/o infrequent ecstasy misuse	1T22	277521000000100	512321000000113	1T22.00	Drug abuse	1
476071000000112	previous history of ecstasy misuse	1T23	277551000000105	476071000000112	1T23.00	Drug abuse	1
512111000000116	h/o benzodiazepine misuse	1T3	277081000000108	512111000000116	1T3..00	Drug abuse	1
512211000000112	h/o daily benzodiazepine misuse	1T30	277101000000102	512211000000112	1T30.00	Drug abuse	1
512221000000118	h/o weekly benzodiazepine misuse	1T31	277131000000108	512221000000118	1T31.00	Drug abuse	1
512231000000116	h/o infrequent benzodiazepine misuse	1T32	277161000000103	512231000000116	1T32.00	Drug abuse	1
475351000000110	previous history of benzodiazepine misuse	1T33	277191000000109	475351000000110	1T33.00	Drug abuse	1
512121000000110	h/o amphetamine misuse	1T4	277071000000106	512121000000110	1T4..00	Drug abuse	1
512331000000110	h/o daily amphetamine misuse	1T40	277581000000104	512331000000110	1T40.00	Drug abuse	1
512341000000118	h/o weekly amphetamine misuse	1T41	277611000000105	512341000000118	1T41.00	Drug abuse	1
512351000000115	h/o infrequent amphetamine misuse	1T42	277641000000106	512351000000115	1T42.00	Drug abuse	1
476311000000116	previous history of amphetamine misuse	1T43	277671000000100	476311000000116	1T43.00	Drug abuse	1
512131000000112	h/o cocaine misuse	1T5	277061000000104	512131000000112	1T5..00	Drug abuse	1
512451000000110	h/o daily cocaine misuse	1T50	278061000000103	512451000000110	1T50.00	Drug abuse	1
512461000000113	h/o weekly cocaine misuse	1T51	278091000000109	512461000000113	1T51.00	Drug abuse	1
512471000000118	h/o infrequent cocaine misuse	1T52	278121000000105	512471000000118	1T52.00	Drug abuse	1
477271000000118	previous history of cocaine misuse	1T53	278151000000100	477271000000118	1T53.00	Drug abuse	1
512141000000115	h/o crack cocaine misuse	1T6	277051000000102	512141000000115	1T6..00	Drug abuse	1
512481000000116	h/o daily crack cocaine misuse	1T60	278181000000106	512481000000116	1T60.00	Drug abuse	1
512491000000119	h/o weekly crack cocaine misuse	1T61	278211000000107	512491000000119	1T61.00	Drug abuse	1
512501000000113	h/o infrequent crack cocaine misuse	1T62	278241000000108	512501000000113	1T62.00	Drug abuse	1
477511000000114	previous history of crack cocaine misuse	1T63	278271000000102	477511000000114	1T63.00	Drug abuse	1
512151000000117	h/o hallucinogen misuse	1T7	277041000000100	512151000000117	1T7..00	Drug abuse	1
477751000000115	previous history of hallucinogen misuse	1T73	278391000000106	477751000000115	1T73.00	Drug abuse	1
512161000000119	h/o cannabis misuse	1T8	277031000000109	512161000000119	1T8..00	Drug abuse	1
512571000000117	h/o daily cannabis misuse	1T80	278541000000106	512571000000117	1T80.00	Drug abuse	1
512581000000115	h/o weekly cannabis misuse	1T81	278571000000100	512581000000115	1T81.00	Drug abuse	1
512591000000118	h/o infrequent cannabis misuse	1T82	278601000000107	512591000000118	1T82.00	Drug abuse	1
478231000000119	previous history of cannabis misuse	1T83	278631000000101	478231000000119	1T83.00	Drug abuse	1
512171000000114	h/o solvent misuse	1T9	277021000000107	512171000000114	1T9..00	Drug abuse	1
512601000000112	h/o daily solvent misuse	1T90	278661000000106	512601000000112	1T90.00	Drug abuse	1
512611000000114	h/o weekly solvent misuse	1T91	278691000000100	512611000000114	1T91.00	Drug abuse	1
512621000000115	h/o infrequent solvent misuse	1T92	278721000000109	512621000000115	1T92.00	Drug abuse	1
478471000000116	previous history of solvent misuse	1T93	278751000000104	478471000000116	1T93.00	Drug abuse	1
512181000000111	h/o barbiturate misuse	1TA	277011000000101	512181000000111	1TA..00	Drug abuse	1
1584851000006110	h/o major tranquilliser misuse	1TB	277001000000103	643811000000118	1TB..00	Drug abuse	1
512361000000117	h/o daily major tranquilliser misuse	1TB0	277701000000101	643751000000110	1TB0.00	Drug abuse	1
512191000000113	h/o anti-depressant misuse	1TC	276991000000109	512191000000113	1TC..00	Drug abuse	1
512391000000111	h/o daily anti-depressant misuse	1TC0	277821000000103	512391000000111	1TC0.00	Drug abuse	1
476791000000114	previous history of anti-depressant misuse	1TC3	277911000000102	476791000000114	1TC3.00	Drug abuse	1
512201000000110	h/o opiate misuse	1TD	276981000000107	512201000000110	1TD..00	Drug abuse	1
512421000000117	h/o daily opiate misuse	1TD0	277941000000101	512421000000117	1TD0.00	Drug abuse	1
512431000000115	h/o weekly opiate misuse	1TD1	277971000000107	512431000000115	1TD1.00	Drug abuse	1
512441000000112	h/o infrequent opiate misuse	1TD2	278001000000102	512441000000112	1TD2.00	Drug abuse	1
477031000000112	previous history of opiate misuse	1TD3	278031000000108	477031000000112	1TD3.00	Drug abuse	1
1216143019	drug misuse behaviour	1V	228366006	1216143019	1V...00	Drug abuse	1
477158014	misuses drugs	1V0	361055000	477158014	1V0..00	Drug abuse	1
342434015	long-term drug misuser	1V01	228371004	342434015	1V01.00	Drug abuse	1
342435019	poly-drug misuser	1V02	228372006	342435019	1V02.00	Drug abuse	1
757341000000110	health problem secondary to drug misuse	1V0E	383871000000108	757341000000110	1V0E.00	Drug abuse	1
342467016	frequency of drug misuse	1V2	228390007	342467016	1V2..00	Drug abuse	1
342492018	age at starting drug misuse	1V22	228413007	342492018	1V22.00	Drug abuse	1
342490014	time since stopped drug misuse	1V23	228411009	342490014	1V23.00	Drug abuse	1
494053016	misused drugs in past	1V26	44870007	494053016	1V26.00	Drug abuse	1
309921000000119	heroin misuse	1V65	202991000000100	309921000000119	1V65.00	Drug abuse	1
309861000000116	ecstasy misuse	1V66	202961000000106	309861000000116	1V66.00	Drug abuse	1
354409011	chronic renal impairment	1Z1	709044004	3037970010	1Z1..00	Renal disease	1
304031000000117	chronic kidney disease stage 1	1Z10	431855005	2767383018	1Z10.00	Renal disease	1
304051000000112	chronic kidney disease stage 2	1Z11	431856006	2767384012	1Z11.00	Renal disease	1
304071000000115	chronic kidney disease stage 3	1Z12	433144002	2773184015	1Z12.00	Renal disease	1
304091000000116	chronic kidney disease stage 4	1Z13	431857002	2767385013	1Z13.00	Renal disease	1
304111000000114	chronic kidney disease stage 5	1Z14	433146000	2767154014	1Z14.00	Renal disease	1
557811000000119	chronic kidney disease stage 3a	1Z15	700378005	2990386017	1Z15.00	Renal disease	1
557831000000110	chronic kidney disease stage 3b	1Z16	700379002	2990361014	1Z16.00	Renal disease	1
595541000000119	chronic kidney disease stage 1 with proteinuria	1Z17	324121000000109	595541000000119	1Z17.00	Renal disease	1
618391000000118	ckd stage 1 with proteinuria	1Z17-1	324121000000109	618391000000118	1Z17.11	Renal disease	1
595601000000118	chronic kidney disease stage 1 without proteinuria	1Z18	324151000000104	595601000000118	1Z18.00	Renal disease	1
595661000000119	chronic kidney disease stage 2 with proteinuria	1Z19	324181000000105	595661000000119	1Z19.00	Renal disease	1
618411000000118	ckd stage 2 with proteinuria	1Z19-1	324181000000105	618411000000118	1Z19.11	Renal disease	1
595721000000116	chronic kidney disease stage 2 without proteinuria	1Z1A	324211000000106	595721000000116	1Z1A.00	Renal disease	1
618421000000112	ckd stage 2 without proteinuria	1Z1A-1	324211000000106	618421000000112	1Z1A.11	Renal disease	1
595811000000117	chronic kidney disease stage 3 with proteinuria	1Z1B	324251000000105	595811000000117	1Z1B.00	Renal disease	1
618431000000114	ckd stage 3 with proteinuria	1Z1B-1	324251000000105	618431000000114	1Z1B.11	Renal disease	1
595871000000110	chronic kidney disease stage 3 without proteinuria	1Z1C	324281000000104	595871000000110	1Z1C.00	Renal disease	1
618441000000117	ckd stage 3 without proteinuria	1Z1C-1	324281000000104	618441000000117	1Z1C.11	Renal disease	1
595931000000116	chronic kidney disease stage 3a with proteinuria	1Z1D	324311000000101	595931000000116	1Z1D.00	Renal disease	1
618451000000119	ckd stage 3a with proteinuria	1Z1D-1	324311000000101	618451000000119	1Z1D.11	Renal disease	1
595991000000115	chronic kidney disease stage 3a without proteinuria	1Z1E	324341000000100	595991000000115	1Z1E.00	Renal disease	1
618461000000116	ckd stage 3a without proteinuria	1Z1E-1	324341000000100	618461000000116	1Z1E.11	Renal disease	1
596051000000115	chronic kidney disease stage 3b with proteinuria	1Z1F	324371000000106	596051000000115	1Z1F.00	Renal disease	1
618471000000111	ckd stage 3b with proteinuria	1Z1F-1	324371000000106	618471000000111	1Z1F.11	Renal disease	1
596131000000114	chronic kidney disease stage 3b without proteinuria	1Z1G	324411000000105	596131000000114	1Z1G.00	Renal disease	1
618481000000113	ckd stage 3b without proteinuria	1Z1G-1	324411000000105	618481000000113	1Z1G.11	Renal disease	1
596191000000110	chronic kidney disease stage 4 with proteinuria	1Z1H	324441000000106	596191000000110	1Z1H.00	Renal disease	1
618491000000110	ckd stage 4 with proteinuria	1Z1H-1	324441000000106	618491000000110	1Z1H.11	Renal disease	1
596261000000111	chronic kidney disease stage 4 without proteinuria	1Z1J	324471000000100	596261000000111	1Z1J.00	Renal disease	1
618501000000116	ckd stage 4 without proteinuria	1Z1J-1	324471000000100	618501000000116	1Z1J.11	Renal disease	1
596321000000110	chronic kidney disease stage 5 with proteinuria	1Z1K	324501000000107	596321000000110	1Z1K.00	Renal disease	1
618511000000119	ckd stage 5 with proteinuria	1Z1K-1	324501000000107	618511000000119	1Z1K.11	Renal disease	1
596401000000111	chronic kidney disease stage 5 without proteinuria	1Z1L	324541000000105	596401000000111	1Z1L.00	Renal disease	1
618521000000113	ckd stage 5 without proteinuria	1Z1L-1	324541000000105	618521000000113	1Z1L.11	Renal disease	1
496491000006117	asthma resolved	21262	162660004	253533013	2126200	Chronic pulmonary disease	1
294601000000110	atrial fibrillation resolved	212R	196371000000102	294601000000110	212R.00	Cardiac arrythmia	1
294621000000118	depression resolved	212S	196381000000100	294621000000118	212S.00	Depression	1
996171000006114	"psychosis, schizophrenia + bipolar affective disord resolved"	212T	200951000000109	305361000000112	212T.00	Psychoses	1
492761000000114	bipolar affective disorder resolved	212V	285491000000101	492761000000114	212V.00	Psychoses	1
492821000000113	schizophrenia resolved	212W	285521000000103	492821000000113	212W.00	Psychoses	1
492881000000114	psychosis resolved	212X	285551000000108	492881000000114	212X.00	Psychoses	1
253619019	o/e - depressed	2257	162722001	253619019	2257.00	Depression	1
2549129012	o/e - paranoid delusions	225E	416611006	2549129012	225E.00	Psychoses	1
2549426013	o/e - delusion of persecution	225F	416890005	2549426013	225F.00	Psychoses	1
411922013	o/e - overweight	22A4-1	275947003	411922013	22A4.11	Obesity	1
356960015	overweight	22AA	238131007	356960015	22AA.00	Obesity	1
253845014	body mass index high k/m2	22K2	48499001	80800016	22K2.00	Obesity	1
253847018	body mass index index 25-29 - overweight	22K4	162863004	253847018	22K4.00	Obesity	1
253848011	body mass index 30+ - obesity	22K5	162864005	253848011	22K5.00	Obesity	1
2160062010	body mass index 40+ - severely obese	22K7	408512008	2160062010	22K7.00	Obesity	1
254061017	o/e - arterial wall - aneurysm	2456	163018009	254061017	2456.00	Peripheral vascular disease	1
411245010	o/e - aortic murmur	24D-1	275282007	411245010	24D..11	Valvular disease	1
411247019	o/e - pulmonary murmur	24D-5	275284008	411247019	24D..15	Valvular disease	1
254157014	o/e - aortic systolic murmur	24D5	163092009	254157014	24D5.00	Valvular disease	1
254158016	o/e - aortic diastolic murmur	24D6	163093004	254158016	24D6.00	Valvular disease	1
254159012	o/e -pulmonary systolic murmur	24D7	163094005	254159012	24D7.00	Valvular disease	1
254160019	o/e-pulmonary diastolic murmur	24D8	163095006	254160019	24D8.00	Valvular disease	1
254161015	o/e - tricuspid murmur	24D9	163096007	254161015	24D9.00	Valvular disease	1
374225019	aortic valve gradient	24G	251088005	374225019	24G..00	Valvular disease	1
504161016	absence seizure	2828	79631006	504161016	2828.00	Other neurological disorders	1
254824010	o/e - paralysis	283	163598001	254824010	283..00	Paralysis	1
254829017	o/e - hemiplegia	2833	163601006	254829017	2833.00	Paralysis	1
254830010	o/e - monoplegia	2834	163602004	254830010	2834.00	Paralysis	1
254833012	o/e - paraplegia	2835	163604003	254833012	2835.00	Paralysis	1
254834018	o/e - quadriplegia	2836	163605002	254834018	2836.00	Paralysis	1
254835017	o/e - diplegia	2837	163606001	254835017	2837.00	Paralysis	1
254836016	o/e - paralysis nos	283Z	163598001	254824010	283Z.00	Paralysis	1
402504012	"psychotic condition, insight present"	285-1	268957000	402504012	285..11	Psychoses	1
215691000006112	poor insight into psychotic condition	286-1	12200008	21006010	286..11	Psychoses	1
1488401018	lower limb spasticity	2949	394679006	1488401018	2949.00	Paralysis	1
1488402013	upper limb spasticity	294A	394680009	1488402013	294A.00	Paralysis	1
1747851000000119	worsening limb spasticity	294B	781781000000104	1747851000000119	294B.00	Paralysis	1
1751911000000117	upper limb flaccidity	294E	449910002	2912913011	294E.00	Paralysis	1
254935018	o/e - parkinsonian tremor	297A	163672003	254935018	297A.00	Other neurological disorders	1
254944017	o/e -parkinson flexion posture	2987	163681009	254944017	2987.00	Other neurological disorders	1
280121000006113	o/e - parkinson posture	2987-1	163681009	254944017	2987.11	Other neurological disorders	1
254948019	o/e - gait spastic	2992	163685000	254948019	2992.00	Paralysis	1
254949010	o/e - spastic gait	2992-1	163685000	254949010	2992.11	Paralysis	1
402512016	o/e-festination-parkinson gait	2994	268964003	402512016	2994.00	Other neurological disorders	1
169731000006118	retinal abnormality - diabetes related	2BBF	4855003	1230609013	2BBF.00	Diabetes with end-organ damage	1
1484883016	o/e - no right diabetic retinopathy	2BBJ	390850007	1484883016	2BBJ.00	Diabetes (uncomplicated)	1
975251000006111	o/e - right eye stable treated prolif diabetic retinopathy	2BBk	414910007	2532963013	2BBk.00	Diabetes with end-organ damage	1
1484886012	o/e - no left diabetic retinopathy	2BBK	390853009	1484886012	2BBK.00	Diabetes (uncomplicated)	1
975261000006113	o/e - left eye stable treated prolif diabetic retinopathy	2BBl	414894003	2532964019	2BBl.00	Diabetes with end-organ damage	1
1484887015	o/e - diabetic maculopathy present both eyes	2BBL	390854003	1484887015	2BBL.00	Diabetes with end-organ damage	1
1484888013	o/e - diabetic maculopathy absent both eyes	2BBM	390855002	1484888013	2BBM.00	Diabetes (uncomplicated)	1
2549896013	o/e - sight threatening diabetic retinopathy	2BBo	417677008	2549896013	2BBo.00	Diabetes with end-organ damage	1
2159973010	o/e - right eye background diabetic retinopathy	2BBP	408409007	2159973010	2BBP.00	Diabetes with end-organ damage	1
2159974016	o/e - left eye background diabetic retinopathy	2BBQ	408410002	2159974016	2BBQ.00	Diabetes with end-organ damage	1
733161000000116	impaired vision due to diabetic retinopathy	2BBr	373041000000101	733161000000116	2BBr.00	Diabetes with end-organ damage	1
2159975015	o/e - right eye preproliferative diabetic retinopathy	2BBR	408411003	2159975015	2BBR.00	Diabetes with end-organ damage	1
2159976019	o/e - left eye preproliferative diabetic retinopathy	2BBS	408412005	2159976019	2BBS.00	Diabetes with end-organ damage	1
2159977011	o/e - right eye proliferative diabetic retinopathy	2BBT	408413000	2159977011	2BBT.00	Diabetes with end-organ damage	1
2159978018	o/e - left eye proliferative diabetic retinopathy	2BBV	408414006	2159978018	2BBV.00	Diabetes with end-organ damage	1
2159979014	o/e - right eye diabetic maculopathy	2BBW	769244003	3698428016	2BBW.00	Diabetes with end-organ damage	1
2159980012	o/e - left eye diabetic maculopathy	2BBX	769245002	3698426017	2BBX.00	Diabetes with end-organ damage	1
451410016	o/e - right diabetic foot at risk	2G5A	308105005	451410016	2G5A.00	Diabetes (uncomplicated)	1
451411017	o/e - left diabetic foot at risk	2G5B	308106006	451411017	2G5B.00	Diabetes (uncomplicated)	1
