medcode	readcode	readterm	condition
100639	1M4..00	central post-stroke pain	Other neurological disorders
100650	AB63600	aspergillus bronchitis	Chronic pulmonary disease
100673	Pyu0100	[x]other congenital hydrocephalus	Other neurological disorders
100687	8B77.00	potassium supplementation	Fluid and electrolyte disorders
100721	B002z00	"malignant neoplasm of upper lip, inner aspect nos"	Solid tumour or leukaemia
100733	B51yz00	malignant neoplasm of other part of brain nos	Solid tumour or leukaemia
100740	679J100	health education - structured asthma discussion	Chronic pulmonary disease
100769	AyuCD00	[x]unspecified human immunodeficiency virus [hiv] disease	HIV/AIDS
100770	C10EF12	insulin dependent diabetes mellitus with diabetic cataract	Diabetes with end-organ damage
100776	N040C00	rheumatoid arthritis of sacro-iliac joint	Rheumatoid arthritis and collagen diseases
10078	G13..00	diseases of mitral and aortic valves	Valvular disease
100781	ByuF300	[x]carcinoma in situ of other parts of respiratory system	Solid tumour or leukaemia
10079	G580.12	right heart failure	Congestive heart failure
10081	K05..11	chronic uraemia	Renal disease
100834	7Q05200	hepatitis b treatment drugs band 1	Liver disease
100877	38Dd.00	clinical chronic obstructive pulmonary disease questionnaire	Chronic pulmonary disease
100888	329F.00	ecg: right bundle branch and left anterior fascicular block	Cardiac arrythmia
100906	B00z000	"malignant neoplasm of lip, unspecified, external"	Solid tumour or leukaemia
100910	Gyu5D00	[x]multiple valve disorders/diseases ce	Valvular disease
100914	N040400	rheumatoid arthritis of acromioclavicular joint	Rheumatoid arthritis and collagen diseases
100918	B073z00	malignant neoplasm of anterior wall of nasopharynx nos	Solid tumour or leukaemia
100920	67IJ000	pre-conception advice for patients with epilepsy	Other neurological disorders
100935	1V0E.00	health problem secondary to drug misuse	Drug abuse
100957	FyuAG00	"[x]post-traumatic hydrocephalus, unspecified"	Other neurological disorders
100964	C10F111	type ii diabetes mellitus with ophthalmic complications	Diabetes with end-organ damage
10097	C03..00	congenital hypothyroidism	Hypothyroidism
10098	C10yy00	other specified diabetes mellitus with other spec comps	Diabetes with end-organ damage
10099	F420300	advanced diabetic maculopathy	Diabetes with end-organ damage
100994	H410.11	asbestos-induced pleural plaque	Chronic pulmonary disease
101013	P110000	"spina bifida without hydrocephalus, site unspecified"	Other neurological disorders
101042	8BMW.00	issue of chronic obstructive pulmonary disease rescue pack	Chronic pulmonary disease
101054	Eu32900	"[x]single major depr ep, severe with psych, psych in remiss"	Psychoses
101086	B520z00	malignant neoplasm of cranial nerves nos	Solid tumour or leukaemia
101090	147F.00	history of parkinson's disease	Other neurological disorders
10111	G54z100	stenosis of unspecified heart valve	Valvular disease
101114	B627A00	diffuse non-hodgkin's large cell lymphoma	Lymphoma
101124	SP06B00	continuous ambulatory peritoneal dialysis associated perit	Renal disease
101133	U60F61A	[x] adverse reaction to antiasthmatic nos	Chronic pulmonary disease
101137	G583.11	hfnef - heart failure with normal ejection fraction	Congestive heart failure
101138	G583.00	heart failure with normal ejection fraction	Congestive heart failure
101143	8IB2.00	contraceptiv advice for patients with epilepsy not indicated	Other neurological disorders
101153	Eu32A00	"[x]recurr major depr ep, severe with psych, psych in remiss"	Psychoses
101177	66At.00	diabetic dietary review	Diabetes (uncomplicated)
101190	66AQ100	declined consent for diabetes year of care programme	Diabetes (uncomplicated)
101191	66j0.00	human immunodeficiency virus annual review	HIV/AIDS
101195	G714300	aneurysm of suprarenal aorta	Peripheral vascular disease
101198	4M70.00	clark melanoma level 1	Solid tumour or leukaemia
101222	F151111	juvenile spinal muscular atrophy	Other neurological disorders
101241	SB16.00	pulmonary blood vessel injury	Pulmonary circulation disorders
101311	C10EC12	insulin dependent diabetes mellitus with polyneuropathy	Diabetes with end-organ damage
10134	BB29.00	[m]squamous cell carcinoma in situ nos	Solid tumour or leukaemia
101358	K0A0400	ac neph syn difus endocaplry prolifrative glomerulonephritis	Renal disease
101377	1TD1.00	h/o weekly opiate misuse	Drug abuse
101379	G714200	infrarenal abdominal aortic aneurysm	Peripheral vascular disease
101394	1V23.00	time since stopped drug misuse	Drug abuse
101408	9No7.00	seen in cystic fibrosis clinic	Chronic pulmonary disease
101429	BBj0.11	"[m]lymphogranuloma, malignant"	Solid tumour or leukaemia
101453	Kyu1000	[x]other chronic tubulo-interstitial nephritis	Renal disease
101455	9OLN.00	diabetes monitor invitation by sms (short message service)	Diabetes (uncomplicated)
101456	8IAs.00	diabetic dietary review declined	Diabetes (uncomplicated)
101465	B62z800	unspec malig neop lymphoid/histiocytic of multiple sites	Lymphoma
101485	G56y600	pacemaker twiddler's syndrome	Cardiac arrythmia
101530	B616z00	"hodgkin's disease, lymphocytic depletion nos"	Lymphoma
101535	J631600	hepatitis + adenovirus	Liver disease
10154	G580.13	right ventricular failure	Congestive heart failure
101561	ByuF900	"[x]carcinoma in situ of skin, unspecified"	Solid tumour or leukaemia
101572	K0A4X00	"isolated proteinuria, with oth specif morpholog changes"	Renal disease
101608	B4A1100	malignant neoplasm of ureteropelvic junction	Solid tumour or leukaemia
101649	7Q01y00	other specified high cost hypertension drugs	Hypertension (uncomplicated)
101662	B565200	secondary and unspec malig neop circumflex iliac ln	Metastatic cancer
101668	Byu5400	"[x]malignant neoplasm/peripheral nerves of trunk,unspecified"	Solid tumour or leukaemia
101707	B001z00	"malignant neoplasm of lower lip, vermilion border nos"	Solid tumour or leukaemia
101712	Gyu5X00	[x]other specified heart block	Cardiac arrythmia
101715	B616700	"hodgkin's disease, lymphocytic depletion of spleen"	Lymphoma
101724	1TB..00	h/o major tranquilliser misuse	Drug abuse
101728	66As.00	diabetic on subcutaneous treatment	Diabetes (uncomplicated)
101735	C10E212	insulin-dependent diabetes mellitus with neurological comps	Diabetes with end-organ damage
101736	4N0..00	dialysis fluid urea level	Renal disease
101753	B03y.00	malignant neoplasm of other sites of gum	Solid tumour or leukaemia
101756	7L1A011	thomas intravascular shunt for dialysis	Renal disease
101778	B442.00	malignant neoplasm of broad ligament	Solid tumour or leukaemia
101797	7A5Az00	transluminal stent assisted coil embolisation aneurysm nos	Peripheral vascular disease
101801	66At100	type ii diabetic dietary review	Diabetes (uncomplicated)
101805	B507000	malignant neoplasm of lacrimal sac	Solid tumour or leukaemia
101834	9h43.00	excepted from diabetes qual indicators: service unavailable	Diabetes (uncomplicated)
101835	7A15y00	other specified other emergency bypass of segment of aorta	Peripheral vascular disease
101836	A788600	human immunodeficiency virus with secondary cancers	HIV/AIDS
101866	G73z012	vascular claudication	Peripheral vascular disease
10187	G541012	"aortic regurgitation, non-rheumatic"	Valvular disease
101881	2BBr.00	impaired vision due to diabetic retinopathy	Diabetes with end-organ damage
101892	1V22.00	age at starting drug misuse	Drug abuse
101907	B182.00	overlapping malign lesion of retroperitoneum and peritoneum	Solid tumour or leukaemia
101910	7A41.11	other bypass of iliac artery by anastomosis	Peripheral vascular disease
101912	Z1A..00	dialysis training	Renal disease
101922	Gyu5V00	[x]other and unspecified fascicular block	Cardiac arrythmia
101923	BBJ1.11	[m]fibroliposarcoma	Solid tumour or leukaemia
101944	L43z000	"obstetric pulmonary embolism nos, unspecified"	Pulmonary circulation disorders
101954	AyuJ900	[x]sequelae of viral hepatitis	Liver disease
101987	Eu26.00	[x]nonorganic psychosis in remission	Psychoses
101988	B060100	malignant neoplasm of palatine tonsil	Solid tumour or leukaemia
101999	Eu84311	[x]dementia infantalis	Other neurological disorders
102088	7P20300	delivery of rehabilitation for rheumatoid arthritis	Rheumatoid arthritis and collagen diseases
102112	C10E611	type i diabetes mellitus with gangrene	Diabetes with end-organ damage
102116	4M73.00	clark melanoma level 4	Solid tumour or leukaemia
102117	AyuC300	[x]hiv disease resulting in multiple infections	HIV/AIDS
102142	B013000	malignant neoplasm of anterior 2/3 of tongue ventral surface	Solid tumour or leukaemia
102145	B322100	malignant melanoma of external auditory meatus	Solid tumour or leukaemia
102151	B060200	malignant neoplasm of overlapping lesion of tonsil	Solid tumour or leukaemia
102158	B625200	letterer-siwe disease of intrathoracic lymph nodes	Lymphoma
102163	C10ED12	insulin dependent diabetes mellitus with nephropathy	Diabetes with end-organ damage
102167	P6y5200	congenital incomplete atrio-ventricular heart block	Cardiac arrythmia
102170	66Yp.00	asthma review using roy colleg of physicians three questions	Chronic pulmonary disease
102177	J140200	acute gastrojejunal ulcer with perforation	Peptic ulcer disease
102190	8IAg.00	contraceptive advice for patients with epilepsy declined	Other neurological disorders
102191	8IAi.00	pregnancy advice for patients with epilepsy declined	Other neurological disorders
102201	C10FC11	type ii diabetes mellitus with nephropathy	Diabetes with end-organ damage
102205	B072z00	malignant neoplasm of lateral wall of nasopharynx nos	Solid tumour or leukaemia
102209	38DV.00	mini asthma quality of life questionnaire	Chronic pulmonary disease
102210	7L1f000	extracorporeal albumin haemodialysis	Renal disease
102236	7917y00	other specified closed incision of valve of heart	Valvular disease
102247	8IAt.00	extended interven for excessive alcohol consumption declined	Alcohol abuse
102252	AyuCC00	[x]hiv disease resulting in other specified conditions	HIV/AIDS
102265	8IAh.00	pre-conception advice for patients with epilepsy declined	Other neurological disorders
102301	1787	asthma trigger - seasonal	Chronic pulmonary disease
102306	7A58100	percutaneous transluminal coil embolisation aneurysm medium	Peripheral vascular disease
102311	E105000	unspecified latent schizophrenia	Psychoses
102330	3297.11	electrocardiogram: mobitz type 1 second degree av block	Cardiac arrythmia
102341	1781	asthma trigger - pollen	Chronic pulmonary disease
102359	67AF.00	pregnancy advice for patients with epilepsy	Other neurological disorders
102395	66Yr.00	asthma causes symptoms most nights	Chronic pulmonary disease
102400	66Yq.00	asthma causes night time symptoms 1 to 2 times per week	Chronic pulmonary disease
102406	662P000	hypertension 9 month review	Hypertension (uncomplicated)
102417	BB3C.00	[m]superficial basal cell carcinoma	Solid tumour or leukaemia
102427	E102500	catatonic schizophrenia in remission	Psychoses
102434	66Au.00	diabetic erectile dysfunction review	Diabetes (uncomplicated)
102444	G41y100	thromboembolic pulmonary hypertension	Pulmonary circulation disorders
102446	E105z00	latent schizophrenia nos	Psychoses
102449	1789	asthma trigger - respiratory infection	Chronic pulmonary disease
102458	Gyu2000	[x]other secondary hypertension	Hypertension (uncomplicated)
102477	8HRF.00	referral for cardiac pacemaker check	Cardiac arrythmia
102490	66Av.00	diabetic assessment of erectile dysfunction	Diabetes with end-organ damage
102514	66CN.00	"risk health associated overweight and obesity, at high risk"	Obesity
102547	BB3D.00	"[m]basal cell carcinoma, nodular"	Solid tumour or leukaemia
102553	329H.00	electrocardiogram: mobitz type 2 second degree av block	Cardiac arrythmia
102563	1627	unintentional weight loss	Weight loss
102565	4JQD.11	hepatitis c pcr positive	Liver disease
102568	4JQD.00	hepatitis c viral ribonucleic acid pcr positive	Liver disease
102585	8HgD.00	discharge from heart failure nurse service	Congestive heart failure
102593	BB96.00	[m]noninfiltrating intraductal papillary adenocarcinoma	Solid tumour or leukaemia
102594	B627E00	diffuse large b-cell lymphoma	Lymphoma
102611	66At111	type 2 diabetic dietary review	Diabetes (uncomplicated)
102620	C10EL11	type i diabetes mellitus with persistent microalbuminuria	Diabetes with end-organ damage
102628	P104.00	spina bifida with hydrocephalus of late onset	Other neurological disorders
102632	6659000	antidepressant drug treatment started	Depression
102647	9hN0.00	excepted from obesity quality indicators: patient unsuitable	Obesity
102684	7A10400	bypass aorta anastomosis axillary artery bi femoral arteries	Peripheral vascular disease
102685	66YB000	chronic obstructive pulmonary disease 3 monthly review	Chronic pulmonary disease
102688	ByuD400	[x]other malignant immunoproliferative diseases	Solid tumour or leukaemia
102704	66At000	type i diabetic dietary review	Diabetes (uncomplicated)
102708	ByuF100	[x]carcinoma in situ of other specified digestive organs	Solid tumour or leukaemia
102713	663P000	asthma limits activities 1 to 2 times per month	Chronic pulmonary disease
102715	B625000	letterer-siwe disease of unspecified sites	Lymphoma
102719	Gyu7200	"[x]aortic aneurysm of unspecified site, nonruptured"	Peripheral vascular disease
102725	Gyu7100	"[x]aortic aneurysm of unspecified site, ruptured"	Peripheral vascular disease
10274	8B3j.00	asthma medication review	Chronic pulmonary disease
102740	C108112	type 1 diabetes mellitus with ophthalmic complications	Diabetes with end-organ damage
102767	67IJ100	pre-conception advice for diabetes mellitus	Diabetes (uncomplicated)
102768	9NiZ.00	did not attend diabetes foot screening	Diabetes (uncomplicated)
10283	B01..00	malignant neoplasm of tongue	Solid tumour or leukaemia
102843	790Dy00	other specified creation of valved cardiac conduit	Valvular disease
102871	178B.00	asthma trigger - exercise	Chronic pulmonary disease
102873	N04y300	remitting seronegative symmetrical synovitis pitting oedema	Rheumatoid arthritis and collagen diseases
10288	F113000	normal pressure hydrocephalus	Other neurological disorders
102888	663P100	asthma limits activities 1 to 2 times per week	Chronic pulmonary disease
10290	Eu34112	[x]depressive personality disorder	Depression
102922	C370800	cystic fibrosis related cirrhosis	Liver disease
102946	C10E012	insulin-dependent diabetes mellitus with renal complications	Diabetes with end-organ damage
102947	K13yB00	ischaemic nephropathy	Renal disease
102949	B312000	malignant neoplasm of connective and soft tissue of hip	Solid tumour or leukaemia
102952	1783	asthma trigger - warm air	Chronic pulmonary disease
102955	G55A.00	tachycardiomyopathy	Cardiac arrythmia
103007	66YB100	chronic obstructive pulmonary disease 6 monthly review	Chronic pulmonary disease
103034	BB5j500	"[m]endometrioid adenofibroma, malignant"	Solid tumour or leukaemia
103044	7A45y00	emergency replacement aneurysmal femoral/popliteal artery os	Peripheral vascular disease
103046	G210z00	malignant hypertensive heart disease nos	Hypertension with end-organ damage
103048	791Ay00	removal of obstruction from struct adjacent heart valve os	Valvular disease
103066	BB3G.00	[m]pigmented basal cell carcinoma	Solid tumour or leukaemia
103083	8IE7.00	substance misuse assessment declined	Drug abuse
103100	ZV10y13	[v]personal history of malignant neoplasm of eye	Solid tumour or leukaemia
103178	BB3F.00	"[m]basal cell carcinoma, infiltrative"	Solid tumour or leukaemia
103224	C370500	cystic fibrosis with distal intestinal obstruction syndrome	Chronic pulmonary disease
103227	Q207.00	other cranial or peripheral nerve palsy due to birth trauma	Paralysis
103241	9k51.11	shared care drug misuse treatment	Drug abuse
103245	B601700	lymphosarcoma of spleen	Lymphoma
103284	P102300	lumbar spina bifida with hydrocephalus - open	Other neurological disorders
103318	679J200	health education - structured patient focused asthma discuss	Chronic pulmonary disease
103321	1786	asthma trigger - animals	Chronic pulmonary disease
10334	8CP0.00	cancer care plan discussed with patient	Solid tumour or leukaemia
103347	7A40.11	replacement of aneurysmal iliac artery by anastomosis	Peripheral vascular disease
10335	1O0..00	cancer confirmed	Solid tumour or leukaemia
103353	B62z300	unspec malig neop lymphoid/histiocytic intra-abdominal nodes	Lymphoma
103354	B308z00	malignant neoplasm of short bones of leg nos	Solid tumour or leukaemia
103362	9kX..00	hepatitis status 6 months post treatment - enhanced serv adm	Liver disease
103400	9kf1.11	referred for copd structured smoking assessment	Chronic pulmonary disease
103427	7A1C500	endovas insertion of stent graft for aorto-uniiliac aneurysm	Peripheral vascular disease
103431	7A5B000	percutaneous translumin liquid polymer embolisation aneurysm	Peripheral vascular disease
103440	BB3E.00	"[m]basal cell carcinoma, micronodular"	Solid tumour or leukaemia
103445	8Hla.00	referral to dementia care advisor	Other neurological disorders
103462	FyuA400	[x]hydrocephalus in neoplastic disease classified elsewhere	Other neurological disorders
103472	H563200	pulmonary fibrosis	Chronic pulmonary disease
103475	H564.11	cryptogenic organising pneumonia	Chronic pulmonary disease
103494	14B3.12	history of chronic obstructive pulmonary disease	Chronic pulmonary disease
103499	22AA.00	overweight	Obesity
103506	8HTy.00	referral to atrial fibrillation clinic	Cardiac arrythmia
103532	K0A5500	[x]heredtry nephrpthy nec difus mesangiocapilry glomneph	Renal disease
103558	8CeD.00	preferred place of care for next exacerbation of copd	Chronic pulmonary disease
103559	H563300	usual interstitial pneumonitis	Chronic pulmonary disease
103574	C38y011	obesity hypoventilation syndrome	Obesity
10358	B222.00	"malignant neoplasm of upper lobe, bronchus or lung"	Solid tumour or leukaemia
103612	66Ys.00	asthma never causes night symptoms	Chronic pulmonary disease
103613	66f3.00	aortic aneurysm monitoring	Peripheral vascular disease
103631	388t000	royal college physician asthma assessment 3 question score	Chronic pulmonary disease
103637	H35..11	hypersensitivity pneumonitis	Chronic pulmonary disease
103676	8BM0100	antipsychotic medication review	Psychoses
103678	8BMa000	chronic obstructiv pulmonary disease medication optimisation	Chronic pulmonary disease
103690	38G3.00	"hyperten, abnorm renal/liver funct, stroke, bled score"	Other neurological disorders
103708	BBJ6.00	[m]round cell liposarcoma	Solid tumour or leukaemia
103715	J620200	liver abscess via hepatic artery	Liver disease
103731	7A46.15	other replacement of aneurysmal superficial femoral artery	Peripheral vascular disease
103732	8CMK.00	has heart failure management plan	Congestive heart failure
103733	H320311	tension pneumatocoele	Chronic pulmonary disease
103740	8Hkv.00	referral to community multiple sclerosis team	Other neurological disorders
103743	8IE2.00	diabetes care plan declined	Diabetes (uncomplicated)
10375	B810811	carcinoma in situ of glottis	Solid tumour or leukaemia
103752	G561311	mobitz type 1 second degree atrioventricular block	Cardiac arrythmia
103753	H563.13	idiopathic pulmonary fibrosis	Chronic pulmonary disease
103757	Kyu1E00	"[x]tubulo-interstit nephritis, not specif as acute or chron"	Renal disease
103758	8Hkw.00	referral to copd community nursing team	Chronic pulmonary disease
103760	9kf2.11	copd structured smoking assessment declined	Chronic pulmonary disease
103777	294B.00	worsening limb spasticity	Paralysis
103785	H58y500	respiratory bronchiolitis associated interstitial lung dis	Chronic pulmonary disease
103789	D307212	acquired hypoprothrombinaemia	Coagulopathy
103796	B051.00	malignant neoplasm of vestibule of mouth	Solid tumour or leukaemia
103798	9b92000	diabetic medicine	Diabetes (uncomplicated)
1038	C100011	insulin dependent diabetes mellitus	Diabetes (uncomplicated)
103813	1788	asthma trigger - cold air	Chronic pulmonary disease
103829	38DZ000	disease activity score 28 joint in rheumatoid arthritis	Rheumatoid arthritis and collagen diseases
103864	9kf0.11	copd patient unsuitable for pulmonary rehabilitation	Chronic pulmonary disease
10387	B830000	lobular carcinoma in situ of breast	Solid tumour or leukaemia
103881	1TC0.00	h/o daily anti-depressant misuse	Drug abuse
103902	C10FG11	type ii diabetes mellitus with arthropathy	Diabetes with end-organ damage
103915	Eu31900	[x]bipolar affective disorder type ii	Psychoses
103935	1IA..00	no evidence of diabetic nephropathy	Diabetes (uncomplicated)
103936	9b93100	haemophilia - specialty	Coagulopathy
103943	790D300	creation of valved conduit between left ventricle and aorta	Valvular disease
103944	178A.00	asthma trigger - airborne dust	Chronic pulmonary disease
103945	1785	asthma trigger - damp	Chronic pulmonary disease
103946	B220100	malignant neoplasm of mucosa of trachea	Solid tumour or leukaemia
103952	1784	asthma trigger - emotion	Chronic pulmonary disease
103955	1782	asthma trigger - tobacco smoke	Chronic pulmonary disease
103988	7A45.12	emergency replacement of aneurysmal common femoral artery	Peripheral vascular disease
103995	B545z00	malignant neoplasm of aortic body or paraganglia nos	Solid tumour or leukaemia
103998	663P200	asthma limits activities most days	Chronic pulmonary disease
104025	B337600	malignant neoplasm of skin of heel	Solid tumour or leukaemia
104049	7B0Fz00	interventions associated with transplantation of kidney nos	Renal disease
104051	Eu31911	[x]bipolar ii disorder	Psychoses
104065	Eu31800	[x]bipolar affective disorder type i	Psychoses
10411	C333000	waldenstrom's macroglobulinaemia	Lymphoma
104116	2JS..00	patient with internal cardiac defibrillator pacemaker	Cardiac arrythmia
104117	661M300	copd self-management plan agreed	Chronic pulmonary disease
104128	B31z000	kaposi's sarcoma of soft tissue	Solid tumour or leukaemia
104129	C380600	adult-onset obesity	Obesity
104134	AyuC400	[x]hiv disease resulting/other infectious+parasitic diseases	HIV/AIDS
104147	BBQ4.11	[m]infantile embryonal carcinoma	Solid tumour or leukaemia
104152	B628.00	follicular lymphoma	Lymphoma
104169	661N300	copd self-management plan review	Chronic pulmonary disease
10418	C10ED00	type 1 diabetes mellitus with nephropathy	Diabetes with end-organ damage
104201	SP08H00	acute rejection of renal transplant	Renal disease
104225	Q434100	giant cell hepatitis causing neonatal jaundice	Liver disease
104235	U60F611	[x] adverse reaction to antiasthmatics	Chronic pulmonary disease
104243	4JQF.00	hepatitis c antigen positive	Liver disease
104265	9e03.00	gp ooh service notified of copd care plan	Chronic pulmonary disease
104275	G584.00	right ventricular failure	Congestive heart failure
104277	14i..00	h/o hepatitis c antiviral drug therapy	Liver disease
104287	8Hlc.00	referral to community diabetes service	Diabetes (uncomplicated)
104291	B61..11	hodgkin lymphoma	Lymphoma
104311	G72B.00	dissection of artery	Peripheral vascular disease
104323	C10F511	type ii diabetes mellitus with gangrene	Diabetes with end-organ damage
104324	B595.00	malignant tumour of unknown origin	Solid tumour or leukaemia
104333	G5yyC00	diastolic dysfunction	Congestive heart failure
104341	A70A.00	hepatitis c genotype 1	Liver disease
104346	A70C.00	hepatitis c genotype 3	Liver disease
104363	N00y.11	fibrosclerosis - systemic	Rheumatoid arthritis and collagen diseases
104374	67D8.00	provision of diabetes clinical summary	Diabetes (uncomplicated)
104386	B62F000	small cell b-cell lymphoma	Lymphoma
104391	B627.11	non-hodgkin lymphoma	Lymphoma
104412	B62F200	lymphoblastic (diffuse) lymphoma	Lymphoma
104418	B630400	solitary plasmacytoma	Lymphoma
104421	C380700	lifelong obesity	Obesity
104435	A70z100	acute viral hepatitis nos	Liver disease
104451	C352z00	disorder of magnesium metabolism nos	Fluid and electrolyte disorders
104453	66At011	type 1 diabetic dietary review	Diabetes (uncomplicated)
104466	L179.00	hiv disease complicating pregnancy childbirth puerperium	HIV/AIDS
104467	585I000	abdominal aortic aneurysm screen ultrasound scan abnormal	Peripheral vascular disease
104480	B58y800	secondary malignant neoplasm of epididymis and vas deferens	Metastatic cancer
104481	8CMV.00	has chronic obstructive pulmonary disease care plan	Chronic pulmonary disease
104484	B61C.00	other classical hodgkin lymphoma	Lymphoma
104498	F2B..00	cerebral palsy	Paralysis
104529	G55A.11	tachycardia-induced cardiomyopathy	Cardiac arrythmia
10455	E211200	depressive personality disorder	Depression
104557	H465.00	chemical-induced pulmonary oedema	Chronic pulmonary disease
104572	9NgR.00	on hepatitis c treatment plan	Liver disease
104579	A70G.00	acute hepatitis c	Liver disease
104580	F2B0.00	spastic quadriplegic cerebral palsy	Paralysis
104586	7L1B200	flushing of peritoneal dialysis catheter	Renal disease
104608	H3A..00	end stage chronic obstructive airways disease	Chronic pulmonary disease
104609	4M71.00	clark melanoma level 2	Solid tumour or leukaemia
104619	K053.00	chronic kidney disease stage 3	Renal disease
104620	B62F100	mantle cell lymphoma	Lymphoma
104630	SP08G00	acute rejection of renal transplant - grade iii	Renal disease
104638	8IEC.00	ref multidisciplinary stroke function improvement declined	Other neurological disorders
104639	C10FF11	type ii diabetes mellitus with peripheral angiopathy	Diabetes with end-organ damage
104654	F2Bz.00	cerebral palsy nos	Paralysis
104676	329G.00	ecg: right bundle branch and left posterior fascicular block	Cardiac arrythmia
104686	J632300	hepatitis in toxoplasmosis	Liver disease
104699	BBy2.00	"[m]no microscopic confirmation tumour, clinically metastatic"	Metastatic cancer
104710	9NgP.11	on copd (chr obstruc pulmonary disease) supportv cre pathway	Chronic pulmonary disease
104717	A789311	hiv disease resulting in pneumocystis jirovecii pneumonia	HIV/AIDS
104719	Z1A1.00	peritoneal dialysis training	Renal disease
104720	BBP3.11	[m]sarcomatoid mesothelioma	Solid tumour or leukaemia
104743	B613800	"hodgkin's, lymphocytic-histiocytic pred of multiple sites"	Lymphoma
104760	E103100	subchronic paranoid schizophrenia	Psychoses
104763	Eu25211	[x]cyclic schizophrenia	Psychoses
104775	F230111	spastic diplegic cerebral palsy	Paralysis
104782	F2By.00	other cerebral palsy	Paralysis
104790	B601800	lymphosarcoma of lymph nodes of multiple sites	Lymphoma
104812	D01y000	vitamin c deficiency anaemia	Deficiency anaemia
