medcode	readcode	desc
11050	44Uz.11	Blood hyperglycaemia NOS
18167	66AT.00	Annual diabetic blood test
5234	6872.00	Diabetes mellitus screen
9958	42W..00	Hb. A1C - diabetic control
13597	42W1.00	Hb. A1C < 7% - good control
13604	42W3.00	Hb. A1C > 10% - bad control
14049	42WZ.00	Hb. A1C - diabetic control NOS
14051	44TB.00	Haemoglobin A1c level
14053	42W4.00	HbA1c level (DCCT aligned)
96968	42W5.00	Haemoglobin A1c level - IFCC standardised
108943	44TB000	Haemoglobin A1c (diagnostic reference range)
108963	44TB100	Haemoglobin A1c (monitoring ranges)
3668	44T2.00	Fasting blood sugar
6110	44U..11	Blood sugar result
7887	44T..11	Blood sugar method
12677	ZV77100	[V]Screening for diabetes mellitus
13193	66AC.00	Blood sugar charts
13599	44T1.00	Random blood sugar
13605	44T4.00	Dip-stick blood sugar
13827	44T1200	Random blood sugar raised
13833	44T9.00	Glucometer blood sugar
14090	466..11	Sugar - urine test
16697	46S..12	Sugars in urine
16971	ZV77111	[V]Screening for diabetes mellitus (DM)
19774	44T3.00	2 hours post food blood sugar
19777	44T1000	Random blood sugar normal
20690	44T3.11	Post prandial blood sugar
23251	47BZ.00	Faecal sugars - general NOS
26510	66AB.00	Urine sugar charts
27581	68K1.11	Urine screen for sugar
35576	47B..00	Faecal sugars - general
36563	8CA4911	Pt advised re sugar free diet
38062	44T5.00	Laboratory blood sugar
39603	44T8.00	Bedtime blood sugar
40176	44V..12	Blood sugar tolerance
48564	44T7.00	Supper time blood sugar
49951	13BB.00	High sugar diet
51827	44T6.00	Lunch time blood sugar
65526	46a..00	Urine sugar chromatography
38266	43m8.00	Glutamic acid decarboxylase antibody level
43543	43aE.00	Serum anti-glutamic decarboxylase level
44993	46Z0.00	Urine screening test for diabetes
60322	44SU.00	Serum glutamic acid level
71100	44kP.00	Plasma glutamic acid level
110548	43m8000	Serum glutamic acid decarboxylase antibody concentration
