medcodeGold	medcodeA	readcode	readterm	Category
37315		F3y0.00	Diabetic mononeuropathy	Diabetes
3286		F420100	Proliferative diabetic retinopathy	Diabetes
13097		2BBT.00	O/E - right eye proliferative diabetic retinopathy	Diabetes
7795		C106.12	Diabetes mellitus with neuropathy	Diabetes
3837		F420400	Diabetic maculopathy	Diabetes
45919		C109212	Type 2 diabetes mellitus with neurological complications	Diabetes
49640		2G5W.00	O/E - left chronic diabetic foot ulcer	Diabetes
2342		F372.12	Diabetic neuropathy	Diabetes
11848		C314.11	Renal diabetes	Diabetes
61523		C106y00	Other specified diabetes mellitus with neurological comps	Diabetes
31790		F372.00	Polyneuropathy in diabetes	Diabetes
30477		F420700	High risk proliferative diabetic retinopathy	Diabetes
10099		F420300	Advanced diabetic maculopathy	Diabetes
7069		F420000	Background diabetic retinopathy	Diabetes
35785		F372100	Chronic painful diabetic neuropathy	Diabetes
2986		F420200	Preproliferative diabetic retinopathy	Diabetes
22967		2BBF.00	Retinal abnormality - diabetes related	Diabetes
13102		2BBW.00	O/E - right eye diabetic maculopathy	Diabetes
101881		2BBr.00	Impaired vision due to diabetic retinopathy	Diabetes
5002		F372.11	Diabetic polyneuropathy	Diabetes
13099		2BBR.00	O/E - right eye preproliferative diabetic retinopathy	Diabetes
52630		2BBo.00	O/E - sight threatening diabetic retinopathy	Diabetes
102490		66Av.00	Diabetic assessment of erectile dysfunction	Diabetes
47328		2BBk.00	O/E - right eye stable treated prolif diabetic retinopathy	Diabetes
24571		F372200	Asymptomatic diabetic neuropathy	Diabetes
48078		F372000	Acute painful diabetic neuropathy	Diabetes
18662		8HBH.00	Diabetic retinopathy 6 month review	Diabetes
35107		C104z00	Diabetes mellitus with nephropathy NOS	Diabetes
39809		C108J00	Insulin dependent diab mell with neuropathic arthropathy	IDDM
41716		C108C00	Insulin dependent diabetes mellitus with polyneuropathy	IDDM
65463		F420800	High risk non proliferative diabetic retinopathy	Diabetes
18056		2G5C.00	Foot abnormality - diabetes related	Diabetes
1323		F420.00	Diabetic retinopathy	Diabetes
11433		2BBP.00	O/E - right eye background diabetic retinopathy	Diabetes
22573		C106z00	Diabetes mellitus NOS with neurological manifestation	Diabetes
39420		F381300	Myasthenic syndrome due to diabetic amyotrophy	Diabetes
62384		2G5V.00	O/E - right chronic diabetic foot ulcer	Diabetes
35116		2G5L.00	O/E - Left diabetic foot - ulcerated	Diabetes
44033		F345000	Diabetic mononeuritis multiplex	Diabetes
59903		C106.11	Diabetic amyotrophy	Diabetes
2340		F381311	Diabetic amyotrophy	Diabetes
11599		7276	Pan retinal photocoagulation for diabetes	Diabetes
2471		K01x100	Nephrotic syndrome in diabetes mellitus	Diabetes
43857		C10M.00	Lipoatrophic diabetes mellitus	Diabetes
	7.64191E+14	2G51000	Foot abnormality - diabetes related	Diabetes
	285759019	9OL9.00	Diabetes monitoring deleted	Diabetes
	2.465E+15	679l.00	Diabetic injection administration education	Diabetes
	309179013	M271100	Neuropathic diabetic ulcer - foot	Diabetes
		F372000	Acute painful diabetic neuropathy	Diabetes
		F420300	Advanced diabetic maculopathy	Diabetes
		F420500	Advanced diabetic retinal disease	Diabetes
		F372200	Asymptomatic diabetic neuropathy	Diabetes
		9NM0.00	Attending diabetes clinic	Diabetes
		9OL1.00	Attends diabetes monitoring	Diabetes
		F171100	Autonomic neuropathy due to diabetes	Diabetes
		F420000	Background diabetic retinopathy	Diabetes
		F372100	Chronic painful diabetic neuropathy	Diabetes
		ZRB4.11	CSQ - Diabetes clinic satisfaction questionnaire	Diabetes
		8CS0.00	Diabetes care plan agreed	Diabetes
		ZRB4.00	Diabetes clinic satisfaction questionnaire	Diabetes
		8CR2.00	Diabetes clinical management plan	Diabetes
		C104z00	Diabetes mellitis with nephropathy NOS	Diabetes
		C106z00	Diabetes mellitus NOS with neurological manifestation	Diabetes
		C105z00	Diabetes mellitus NOS with ophthalmic manifestation	Diabetes
		C106.00	Diabetes mellitus with neurological manifestation	Diabetes
		C106.12	Diabetes mellitus with neuropathy	Diabetes
		C105.00	Diabetes mellitus with ophthalmic manifestation	Diabetes
		C106.13	Diabetes mellitus with polyneuropathy	Diabetes
		C104.00	Diabetes mellitus with renal manifestation	Diabetes
		9OLA.00	Diabetes monitor. check done	Diabetes
		9OL8.00	Diabetes monitor.phone invite	Diabetes
		9OL7.00	Diabetes monitor.verbal invite	Diabetes
		9OLA.11	Diabetes monitored	Diabetes
		9OL4.00	Diabetes monitoring 1st letter	Diabetes
		9OL5.00	Diabetes monitoring 2nd letter	Diabetes
		9OL6.00	Diabetes monitoring 3rd letter	Diabetes
		9OL..00	Diabetes monitoring admin.	Diabetes
		9OLZ.00	Diabetes monitoring admin.NOS	Diabetes
		9OL3.00	Diabetes monitoring default	Diabetes
		9OL9.00	Diabetes monitoring deleted	Diabetes
		ZRB5.00	Diabetes treatment satisfaction questionnaire	Diabetes
		3882	Diabetes well being questionnaire	Diabetes
		ZRB6.00	Diabetes wellbeing questionnaire	Diabetes
		66AM.00	Diabetic - follow-up default	Diabetes
		C106.11	Diabetic amyotrophy	Diabetes
		F381311	Diabetic amyotrophy	Diabetes
		13Y1.00	Diabetic association member	Diabetes
		F464000	Diabetic cataract	Diabetes
		N030100	Diabetic Charcot arthropathy	Diabetes
		8A12.00	Diabetic crisis monitoring	Diabetes
		8I6G.00	Diabetic foot examination not indicated	Diabetes
		F420400	Diabetic maculopathy	Diabetes
		66A..00	Diabetic monitoring	Diabetes
		66Al.00	Diabetic monitoring - higher risk albumin excretion	Diabetes
		66Ak.00	Diabetic monitoring - lower risk albumin excretion	Diabetes
		66AZ.00	Diabetic monitoring NOS	Diabetes
		F345000	Diabetic mononeuritis multiplex	Diabetes
		F35z000	Diabetic mononeuritis NOS	Diabetes
		F3y0.00	Diabetic mononeuropathy	Diabetes
		C104.11	Diabetic nephropathy	Diabetes
		F372.12	Diabetic neuropathy	Diabetes
		F372.11	Diabetic polyneuropathy	Diabetes
		F420.00	Diabetic retinopathy	Diabetes
		F420z00	Diabetic retinopathy NOS	Diabetes
		8I6F.00	Diabetic retinopathy screening not indicated	Diabetes
		9N4p.00	Did not attend diabetic retinopathy clinic	Diabetes
		ZLD7500	Discharge by diabetic liaison nurse	Diabetes
		8Hg4.00	Discharged from care of diabetes specialist nurse	Diabetes
		9N4I.00	DNA - Did not attend diabetic clinic	Diabetes
		ZRB5.11	DTSQ - Diabetes treatment satisfaction questionnaire	Diabetes
		ZRB6.11	DWBQ - Diabetes wellbeing questionnaire	Diabetes
		9h41.00	Excepted from diabetes qual indicators: Patient unsuitable	Diabetes
		9h42.00	Excepted from diabetes quality indicators: Informed dissent	Diabetes
		9h4..00	Exception reporting: diabetes quality indicators	Diabetes
		66A2.00	Follow-up diabetic assessment	Diabetes
		14F4.00	H/O: Admission in last year for diabetes foot problem	Diabetes
		1434	H/O: diabetes mellitus	Diabetes
		F420800	High risk non proliferative diabetic retinopathy	Diabetes
		F420700	High risk proliferative diabetic retinopathy	Diabetes
		66A1.00	Initial diabetic assessment	Diabetes
		K01x111	Kimmelstiel - Wilson disease	Diabetes
		F381300	Myasthenic syndrome due to diabetic amyotrophy	Diabetes
		K01x100	Nephrotic syndrome in diabetes mellitus	Diabetes
		M271100	Neuropathic diabetic ulcer - foot	Diabetes
		F420600	Non proliferative diabetic retinopathy	Diabetes
		2BBL.00	O/E - diabetic maculopathy present both eyes	Diabetes
		2BBQ.00	O/E - left eye background diabetic retinopathy	Diabetes
		2BBX.00	O/E - left eye diabetic maculopathy	Diabetes
		2BBS.00	O/E - left eye preproliferative diabetic retinopathy	Diabetes
		2BBV.00	O/E - left eye proliferative diabetic retinopathy	Diabetes
		2BBl.00	O/E - left eye stable treated prolif diabetic retinopathy	Diabetes
		2BBP.00	O/E - right eye background diabetic retinopathy	Diabetes
		2BBW.00	O/E - right eye diabetic maculopathy	Diabetes
		2BBR.00	O/E - right eye preproliferative diabetic retinopathy	Diabetes
		2BBT.00	O/E - right eye proliferative diabetic retinopathy	Diabetes
		2BBk.00	O/E - right eye stable treated prolif diabetic retinopathy	Diabetes
		2BBo.00	O/E - sight threatening diabetic retinopathy	Diabetes
		C106y00	Other specified diabetes mellitus with neurological comps	Diabetes
		C105y00	Other specified diabetes mellitus with ophthalmic complicatn	Diabetes
		C104y00	Other specified diabetes mellitus with renal complications	Diabetes
		7276	Pan retinal photocoagulation for diabetes	Diabetes
		93C4.00	Patient consent given for addition to diabetic register	Diabetes
		F372.00	Polyneuropathy in diabetes	Diabetes
		F420200	Preproliferative diabetic retinopathy	Diabetes
		F420100	Proliferative diabetic retinopathy	Diabetes
		8HTe.00	Referral to diabetes preconception counselling clinic	Diabetes
		8HTk.00	Referral to diabetic eye clinic	Diabetes
		8HHy.00	Referral to diabetic register	Diabetes
		9OL2.00	Refuses diabetes monitoring	Diabetes
		C314.11	Renal diabetes	Diabetes
		2BBF.00	Retinal abnormality - diabetes related	Diabetes
		9N2i.00	Seen by diabetic liaison nurse	Diabetes
		ZLA2500	Seen by diabetic liaison nurse	Diabetes
		9N2d.00	Seen by diabetologist	Diabetes
		9Nl4.00	Seen by general practitioner special interest in diabetes	Diabetes
		9N0n.00	Seen in community diabetes specialist clinic	Diabetes
		9N0o.00	Seen in community diabetic specialist nurse clinic	Diabetes
		9N1Q.00	Seen in diabetic clinic	Diabetes
		9N1v.00	Seen in diabetic eye clinic	Diabetes
		9N1i.00	Seen in diabetic foot clinic	Diabetes
		9N0m.00	Seen in diabetic nurse consultant clinic	Diabetes
		9N1o.00	Seen in multidisciplinary diabetic clinic	Diabetes
		9NN9.00	Under care of diabetes specialist nurse	Diabetes
		9NND.00	Under care of diabetic foot screener	Diabetes
		ZL22500	Under care of diabetic liaison nurse	Diabetes
		9NN8.00	Under care of diabetologist	Diabetes
72333		8HME.00	Listed for Diabetology admissn	Diabetes
106350		9m05.00	Excluded from diabetic retinopathy screening as moved away	Diabetes
13100		2BBJ.00	O/E - no right diabetic retinopathy	Diabetes
21482		C102.00	Diabetes mellitus with hyperosmolar coma	Diabetes
105937		8IEQ.00	Referral to community diabetes specialist nurse declined	Diabetes
283819		250 H	COMA DIABETIC	Diabetes
107361		679L200	Education about diabetes and driving	Diabetes
7328		M037200	Cellulitis in diabetic foot	Diabetes
106445		9m0E.00	Excluded from diabetic retinopathy screen physical disorder	Diabetes
1682		C101.00	Diabetes mellitus with ketoacidosis	Diabetes
283820		250 HC	HYPOGLYCAEMIC COMA DIABETIC	Diabetes
106679		8OA3.00	Provision of written information about diabetes and driving	Diabetes
104287		8Hlc.00	Referral to community diabetes service	Diabetes
292948		250 AB	ABSCESS DIABETIC	Diabetes
18066		8CE0.00	Diabetic leaflet given	Diabetes
303262		250 JK	KETOACIDOSIS DIABETIC	Diabetes
106722		9Oy0300	Diabetic foot screening invitation second letter	Diabetes
65684		U602311	[X] Adverse reaction to insulins and antidiabetic agents	Diabetes
68928		TJ23.00	Adverse reaction to insulins and antidiabetic agents	Diabetes
106738		9Oy0000	Diabetic foot screening invitation	Diabetes
100436		679L000	Education in self management of diabetes	Diabetes
105207		8HTE100	Referral to community diabetes clinic	Diabetes
13191		9OL..11	Diabetes clinic administration	Diabetes
100422		8HgC.00	Discharged from diabetes shared care programme	Diabetes
256384		250 PR	PRURITUS DIABETIC	Diabetes
34541		8HVU.00	Private referral to diabetologist	Diabetes
101190		66AQ100	Declined consent for diabetes year of care programme	Diabetes
38986		C100.00	Diabetes mellitus with no mention of complication	Diabetes
210870		250 GA	GANGRENE DIABETIC	Diabetes
41686		Cyu2000	[X]Other specified diabetes mellitus	Diabetes
106778		9m0C.00	Excluded frm diabetic retinopathy screen as terminal illness	Diabetes
58639		8I57.00	Patient held diabetic record declined	Diabetes
247152		250 DR	DIABETIC DIARRHOEA	Diabetes
107464		66AS000	Diabetes Year of Care annual review	Diabetes
12225		8H7C.00	"Refer, diabetic liaison nurse"	Diabetes
109520		9m03.00	Eligibility permanently inactive for diabetic retinop screen	Diabetes
93390		9OLH.00	Attended DAFNE diabetes structured education programme	Type1
13678		ZL62600	Referral to diabetic liaison nurse	Diabetes
82474		8Hl4.00	Referral to community diabetes specialist nurse	Diabetes
103798		9b92000	Diabetic medicine	Diabetes
61210		TJ23z00	Adverse reaction to insulins and antidiabetic agents NOS	Diabetes
303261		250 HP	PRECOMA DIABETIC	Diabetes
103935		1IA..00	No evidence of diabetic nephropathy	Diabetes
107423		661N400	Diabetes self-management plan review	Diabetes
103743		8IE2.00	Diabetes care plan declined	Diabetes
303258		250 CT	DIABETIC CATARACT	Diabetes
50972		C100z00	Diabetes mellitus NOS with no mention of complication	Diabetes
229069		250 JA	DIABETIC ACIDOSIS	Diabetes
72345		C102z00	Diabetes mellitus NOS with hyperosmolar coma	Diabetes
106329		9m08.00	Excluded from diabetic retinopathy screening as blind	Diabetes
32770		44V3.00	Glucose tol. test diabetic	Diabetes
106328		9m07.00	Excluded diabetc retinop screen as under care ophthalmolgist	Diabetes
42505		C101z00	Diabetes mellitus NOS with ketoacidosis	Diabetes
35383		9OLD.00	Diabetic patient unsuitable for digital retinal photography	Diabetes
106723		9Oy0200	Diabetic foot screening invitation first letter	Diabetes
106327		9m04.00	Excluded from diabetic retinopathy screening	Diabetes
306131		250 E	HYPOGLYCAEMIA IN DIABETES MELLITUS	Diabetes
15690		C103.00	Diabetes mellitus with ketoacidotic coma	Diabetes
107597		9m0D.00	Excluded from diabetic retinopthy screen as learn disability	Diabetes
61557		8HKE.00	Diabetology D.V. requested	Diabetes
38617		C101y00	Other specified diabetes mellitus with ketoacidosis	Diabetes
101455		9OLN.00	Diabetes monitor invitation by SMS (short message service)	Diabetes
14049		42WZ.00	Hb. A1C - diabetic control NOS	Diabetes
65062		C103z00	Diabetes mellitus NOS with ketoacidotic coma	Diabetes
102768		9NiZ.00	Did not attend diabetes foot screening	Diabetes
306134		250 NT	UNSTABLE DIABETIC	Diabetes
303263		250 JL	KETOSIS DIABETIC	Diabetes
106352		9m06.00	Excluded from diabetic retinopathy screening as deceased	Diabetes
101834		9h43.00	Excepted from diabetes qual indicators: service unavailable	Diabetes
33343		C10y.00	Diabetes mellitus with other specified manifestation	Diabetes
237987		250 AT	DIABETIC AMYOTROPHY	Diabetes
303256		250 AN	DIABETES	Diabetes
16881		ZV65312	[V]Dietary counselling in diabetes mellitus	Diabetes
102767		67IJ100	Pre-conception advice for diabetes mellitus	Diabetes
10642		ZC2C800	Dietary advice for diabetes mellitus	Diabetes
105585		8CMW700	Diabetes clinical pathway	Diabetes
52237		9360	Patient held diabetic record issued	Diabetes
101456		8IAs.00	Diabetic dietary review declined	Diabetes
109521		9m02.00	Eligibility temporarily inactive for diabetic retinop screen	Diabetes
711		C10..00	Diabetes mellitus	Diabetes
44312		9M10.00	Informed dissent for diabetes national audit	Diabetes
107739		679L211	Advice about diabetes and driving	Diabetes
283822		250 NH	HYPEROSMOLAR DIABETIC STATE	Diabetes
107452		66o..00	Further diabetic monitoring	Diabetes
11977		ZL62500	Referral to diabetes nurse	Diabetes
98954		3883	Diabetes treatment satisfaction questionnaire	Diabetes
104374		67D8.00	Provision of diabetes clinical summary	Diabetes
100033		U60231E	[X] Adverse reaction to insulins and antidiabetic agents NOS	Diabetes
105740		2G5d.00	O/E - Left diabetic foot at increased risk	Diabetes
108634		9NJy.00	In-house diabetic foot screening	Diabetes
106269		9m0..00	Diabetic retinopathy screening administrative status	Diabetes
9958		42W..00	Hb. A1C - diabetic control	Diabetes
100533		66AQ000	Unsuitable for diabetes year of care programme	Diabetes
94330		8H4e.00	Referral to diabetes special interest general practitioner	Diabetes
69163		8HTi.00	Referral to multidisciplinary diabetic clinic	Diabetes
107793		9Oy0400	Diabetic foot screening invitation third letter	Diabetes
55431		L180X00	"Pre-existing diabetes mellitus, unspecified"	Diabetes
247153		250 G	ULCER DIABETIC	Diabetes
14050		42c..00	HbA1 - diabetic control	Diabetes
108993		661M400	Diabetes self-management plan agreed	Diabetes
54419		918T.00	Diabetes key contact	Diabetes
59288		C103y00	Other specified diabetes mellitus with coma	Diabetes
52212		Cyu2.00	[X]Diabetes mellitus	Diabetes
8306		8H7f.00	Referral to diabetes nurse	Diabetes
306132		250 F	NEUROPATHY DIABETIC	Diabetes
219965		250 M	CHARCOT'S DIABETIC ARTHROPATHY	Diabetes
107881		K08yA11	Clinical diabetic nephropathy	Diabetes
63555		F374z00	Polyneuropathy in disease NOS	Diabetes
256383		250 LK	KIMMELSTIEL- WILSON DISEASE/SYNDROME	Diabetes
31053		R054300	[D]Widespread diabetic foot gangrene	Diabetes
18142		N030000	Diabetic cheiroarthropathy	Diabetes
100292		Cyu2300	[X]Unspecified diabetes mellitus with renal complications	Diabetes
99628		Kyu0300	[X]Glomerular disorders in diabetes mellitus	Diabetes
64357		C10zz00	Diabetes mellitus NOS with unspecified complication	Diabetes
17313		F440700	Diabetic iritis	Diabetes
10098		C10yy00	Other specified diabetes mellitus with other spec comps	Diabetes
34152		G73y000	Diabetic peripheral angiopathy	Diabetes
53634		R054200	[D]Gangrene of toe in diabetic	Diabetes
57333		N030011	Diabetic cheiropathy	Diabetes
24327		M271000	Ischaemic ulcer diabetic foot	Diabetes
64449		C108z00	Unspecified diabetes mellitus with multiple complications	Diabetes
64283		C10zy00	Other specified diabetes mellitus with unspecified comps	Diabetes
65025		C107z00	Diabetes mellitus NOS with peripheral circulatory disorder	Diabetes
32556		C107.12	Diabetes with gangrene	Diabetes
9881		M271200	Mixed diabetic ulcer - foot	Diabetes
35399		C107.00	Diabetes mellitus with peripheral circulatory disorder	Diabetes
105302		K08yA00	Proteinuric diabetic nephropathy	Diabetes
201928		250 LG	DIABETIC GLOMERULOSCLEROSIS	Diabetes
46290		C108y00	Other specified diabetes mellitus with multiple comps	Diabetes
306133		250 N	DIABETIC NEPHROPATHY	Diabetes
45491		C10z.00	Diabetes mellitus with unspecified complication	Diabetes
32403		C107.11	Diabetes mellitus with gangrene	Diabetes
106360		K27y700	Erectile dysfunction due to diabetes mellitus	Diabetes
	308110013	Lyu2900	"[X]Pre-existing diabetes mellitus, unspecified"	Diabetes
