"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"
"7238"	"9567311000001107"	"89598020"	"Buprenorphine 20micrograms/hour transdermal patches"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"7334"	"9567211000001104"	"89594020"	"Buprenorphine 5micrograms/hour transdermal patches"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"7457"	"30865001000027101"	"51847020"	"Temgesic 0.3mg/ml Injection (Reckitt Benckiser Healthcare (UK) Ltd)"	"Buprenorphine Hydrochloride"	"0.3mg/ml"	"Injection"	"Intravenous Injection"	"04070200"	"Opioid Analgesics"
"7555"	"9565311000001104"	"89600020"	"BuTrans 5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"8017"	"762111000001101"	"51849020"	"Temgesic 400microgram sublingual tablets (Indivior UK Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"10077"	"231411000001101"	"85775020"	"Subutex 2mg sublingual tablets (Indivior UK Ltd)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"10205"	"9565611000001109"	"89602020"	"BuTrans 10micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"11584"	"35913911000001101"	"79157020"	"Buprenorphine 70micrograms/hour transdermal patches"	"Buprenorphine"	"70microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"13031"	"292611000001104"	"85774020"	"Subutex 0.4mg sublingual tablets (Indivior UK Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"13300"	"9565911000001103"	"89604020"	"BuTrans 20micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"35169"	"11048311000001109"	"92297020"	"Suboxone 8mg/2mg sublingual tablets (Indivior UK Ltd)"	"Naloxone hydrochloride/Buprenorphine hydrochloride"	"2mg + 8mg"	"Sublingual tablet"	"Sublingual"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"35170"	"11047511000001102"	"92295020"	"Suboxone 2mg/500microgram sublingual tablets (Indivior UK Ltd)"	"Buprenorphine hydrochloride/Naloxone hydrochloride"	"2mg + 500microgram"	"Sublingual tablet"	"Sublingual"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"35269"	"3611411000001101"	"91999020"	"Temgesic 300micrograms/1ml solution for injection ampoules (Indivior UK Ltd)"	"Buprenorphine hydrochloride"	"300microgram/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"35681"	"11055811000001106"	"92283020"	"Buprenorphine 2mg / Naloxone 500microgram sublingual tablets sugar free"	"Buprenorphine hydrochloride/Naloxone hydrochloride"	"2mg + 500microgram"	"Sublingual tablet"	"Sublingual"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"35682"	"11055911000001101"	"92291020"	"Buprenorphine 8mg / Naloxone 2mg sublingual tablets sugar free"	"Naloxone hydrochloride/Buprenorphine hydrochloride"	"2mg + 8mg"	"Sublingual tablet"	"Sublingual"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"38311"	"245065001000027100"	"92293020"	"Naloxone hc 2mg + 8mg Tablet"	"Buprenorphine Hydrochloride/Naloxone Hydrochloride"	"2mg + 8mg"	"Tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"40211"	"14719811000001109"	"76002020"	"Buprenorphine 2mg sublingual tablets sugar free (Teva UK Ltd)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"40212"	"14720311000001104"	"76007020"	"Buprenorphine 8mg sublingual tablets sugar free (Teva UK Ltd)"	"Buprenorphine hydrochloride"	"8mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"40473"	"35913611000001107"	"91997020"	"Buprenorphine 300micrograms/1ml solution for injection ampoules"	"Buprenorphine hydrochloride"	"300microgram/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"42074"	"245055001000027109"	"92289020"	"Naloxone hc 500micrograms + 2mg Tablet"	"Buprenorphine Hydrochloride/Naloxone Hydrochloride"	"500micrograms + 2mg"	"Tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"50380"	"16251511000001102"	"04380020"	"Subutex 2mg sublingual tablets (Lexon (UK) Ltd)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"54806"	"14009111000001102"	"13270020"	"Transtec 52.5micrograms/hour transdermal patches (DE Pharmaceuticals)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"56671"	"21692711000001108"	"46903020"	"BuTrans 5micrograms/hour transdermal patches (Waymade Healthcare Plc)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"57454"	"19957011000001107"	"39500020"	"Prefibin 8mg sublingual tablets (Sandoz Ltd)"	"Buprenorphine hydrochloride"	"8mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"58273"	"14969111000001107"	"76089020"	"Buprenorphine 2mg sublingual tablets sugar free (A A H Pharmaceuticals Ltd)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"58766"	"21693011000001102"	"46905020"	"BuTrans 10micrograms/hour transdermal patches (Waymade Healthcare Plc)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"59146"	"21693411000001106"	"46904020"	"BuTrans 20micrograms/hour transdermal patches (Waymade Healthcare Plc)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"59392"	"23446611000001104"	"20297021"	"Hapoctasin 70micrograms/hour transdermal patches (Actavis UK Ltd)"	"Buprenorphine"	"70microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"59473"	"23446411000001102"	"20296021"	"Hapoctasin 52.5micrograms/hour transdermal patches (Actavis UK Ltd)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"59618"	"17467911000001105"	"13267020"	"Transtec 35micrograms/hour transdermal patches (Mawdsley-Brooks & Company Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"59970"	"16497711000001105"	"04381020"	"Buprenorphine 2mg sublingual tablets sugar free (Actavis UK Ltd)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"60053"	"19957211000001102"	"00858021"	"Tephine 200microgram sublingual tablets (Sandoz Ltd)"	"Buprenorphine hydrochloride"	"200microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"60170"	"23446211000001101"	"20295021"	"Hapoctasin 35micrograms/hour transdermal patches (Actavis UK Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"60943"	"14674911000001102"	"13266020"	"Transtec 35micrograms/hour transdermal patches (Sigma Pharmaceuticals Plc)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"61100"	"19957411000001103"	"00860021"	"Tephine 400microgram sublingual tablets (Sandoz Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"62675"	"20190111000001104"	"39813020"	"Buprenorphine 200microgram sublingual tablets sugar free (A A H Pharmaceuticals Ltd)"	"Buprenorphine hydrochloride"	"200microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"62776"	"28565711000001100"	"44852021"	"Buprenorphine 4mg sublingual tablets sugar free"	"Buprenorphine hydrochloride"	"4mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"62874"	"28565811000001108"	"44854021"	"Buprenorphine 6mg sublingual tablets sugar free"	"Buprenorphine hydrochloride"	"6mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"62969"	"20912611000001109"	"42183020"	"Buprenorphine 8mg sublingual tablets sugar free (Zentiva)"	"Buprenorphine hydrochloride"	"8mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"63640"	"13956911000001106"	"04375020"	"Subutex 2mg sublingual tablets (DE Pharmaceuticals)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"63788"	"28565211000001107"	"44850021"	"Buprenorphine 1mg sublingual tablets sugar free"	"Buprenorphine hydrochloride"	"1mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"64155"	"14719611000001105"	"75999020"	"Buprenorphine 400microgram sublingual tablets sugar free (Teva UK Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"64847"	"28491611000001104"	"44250021"	"Gabup 8mg sublingual tablets (Martindale Pharmaceuticals Ltd)"	"Buprenorphine hydrochloride"	"8mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"65157"	"15061611000001103"	"04379020"	"Buprenorphine 2mg sublingual tablets sugar free (Sigma Pharmaceuticals Plc)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"66280"	"31877211000001103"	"62208021"	"BuTrans 15micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)"	"Buprenorphine"	"15microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"66463"	"32038411000001102"	"62207021"	"Buprenorphine 15micrograms/hour transdermal patches"	"Buprenorphine"	"15microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"66470"	"31278911000001104"	"61469021"	"Butec 10micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"66689"	"31279211000001103"	"61467021"	"Butec 5micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"66695"	"31278611000001105"	"61468021"	"Butec 20micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"67018"	"28489611000001104"	"44279021"	"Buprenorphine 35micrograms/hour transdermal patches (A A H Pharmaceuticals Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"67356"	"18068811000001102"	"13277020"	"Transtec 70micrograms/hour transdermal patches (Lexon (UK) Ltd)"	"Buprenorphine"	"70microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"67901"	"18068611000001101"	"13273020"	"Transtec 52.5micrograms/hour transdermal patches (Lexon (UK) Ltd)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68167"	"33038711000001103"	"70047021"	"Reletrans 5micrograms/hour transdermal patches (Sandoz Ltd)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68172"	"33039311000001108"	"70049021"	"Reletrans 20micrograms/hour transdermal patches (Sandoz Ltd)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68196"	"33039111000001106"	"70266021"	"Reletrans 15micrograms/hour transdermal patches (Sandoz Ltd)"	"Buprenorphine"	"15microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68241"	"33038911000001101"	"70051021"	"Reletrans 10micrograms/hour transdermal patches (Sandoz Ltd)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68402"	"33054211000001103"	"70048021"	"Panitaz 5micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68472"	"32643211000001102"	"68396021"	"Prenotrix 52.5micrograms/hour transdermal patches (Genesis Pharmaceuticals Ltd)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68479"	"32484611000001108"	"66085021"	"Bupeaze 70micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd)"	"Buprenorphine"	"70microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68559"	"33054411000001104"	"70052021"	"Panitaz 10micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68743"	"32484211000001106"	"66082021"	"Bupeaze 35micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68848"	"33546411000001107"	"70689021"	"Buplast 52.5micrograms/hour transdermal patches (Mylan)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68888"	"33481111000001108"	"70469021"	"Sevodyne 20micrograms/hour transdermal patches (Aspire Pharma Ltd)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68889"	"33480911000001104"	"70471021"	"Sevodyne 10micrograms/hour transdermal patches (Aspire Pharma Ltd)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68890"	"33480711000001101"	"70467021"	"Sevodyne 5micrograms/hour transdermal patches (Aspire Pharma Ltd)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"68910"	"32902311000001106"	"69935021"	"Suboxone 16mg/4mg sublingual tablets (Indivior UK Ltd)"	"Naloxone hydrochloride/Buprenorphine hydrochloride"	"4mg + 16mg"	"Sublingual tablet"	"Sublingual"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"68988"	"33595611000001107"	"71052021"	"Buprenorphine 8mg oral lyophilisates sugar free"	"Buprenorphine hydrochloride"	"8mg"	"Oral lyophilisate"	"Oromucosal"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"68989"	"33595511000001108"	"71050021"	"Buprenorphine 2mg oral lyophilisates sugar free"	"Buprenorphine hydrochloride"	"2mg"	"Oral lyophilisate"	"Oromucosal"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"69243"	"32484411000001105"	"66084021"	"Bupeaze 52.5micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"69254"	"33546611000001105"	"70688021"	"Buplast 35micrograms/hour transdermal patches (Mylan)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"69315"	"34027411000001106"	"74001021"	"Butec 15micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)"	"Buprenorphine"	"15microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"69795"	"32576211000001102"	"66083021"	"Prenotrix 35micrograms/hour transdermal patches (Genesis Pharmaceuticals Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"69942"	"18085111000001101"	"04372020"	"Buprenorphine 400microgram sublingual tablets sugar free (Phoenix Healthcare Distribution Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"70065"	"33580211000001100"	"71051021"	"Espranor 2mg oral lyophilisates (Martindale Pharmaceuticals Ltd)"	"Buprenorphine hydrochloride"	"2mg"	"Oral lyophilisate"	"Oromucosal"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"70066"	"33579811000001104"	"71053021"	"Espranor 8mg oral lyophilisates (Martindale Pharmaceuticals Ltd)"	"Buprenorphine hydrochloride"	"8mg"	"Oral lyophilisate"	"Oromucosal"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"70117"	"33054611000001101"	"70050021"	"Panitaz 20micrograms/hour transdermal patches (Dr Reddy's Laboratories (UK) Ltd)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"70124"	"34172111000001105"	"75155021"	"Relevtec 70micrograms/hour transdermal patches (Sandoz Ltd)"	"Buprenorphine"	"70microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"70139"	"34172511000001101"	"75153021"	"Relevtec 35micrograms/hour transdermal patches (Sandoz Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"70283"	"32930411000001109"	"69934021"	"Buprenorphine 16mg / Naloxone 4mg sublingual tablets sugar free"	"Naloxone hydrochloride/Buprenorphine hydrochloride"	"4mg + 16mg"	"Sublingual tablet"	"Sublingual"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"70460"	"34552011000001103"	"77019021"	"Bupramyl 10micrograms/hour transdermal patches (Mylan)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"70461"	"34551811000001100"	"77017021"	"Bupramyl 5micrograms/hour transdermal patches (Mylan)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"70464"	"10508311000001107"	"04373020"	"Subutex 2mg sublingual tablets (Waymade Healthcare Plc)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"70631"	"34172311000001107"	"75154021"	"Relevtec 52.5micrograms/hour transdermal patches (Sandoz Ltd)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"71310"	"34552211000001108"	"77018021"	"Bupramyl 20micrograms/hour transdermal patches (Mylan)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"71410"	"18297511000001109"	"29004020"	"Suboxone 8mg/2mg sublingual tablets (Mawdsley-Brooks & Company Ltd)"	"Naloxone hydrochloride/Buprenorphine hydrochloride"	"2mg + 8mg"	"Sublingual tablet"	"Sublingual"	"04105200"	"Drugs Used In Substance Dependence - Opioid Dependence"
"71630"	"23416411000001108"	"17789021"	"Natzon 0.4mg sublingual tablets (Morningside Healthcare Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"71695"	"19956611000001102"	"39497020"	"Prefibin 0.4mg sublingual tablets (Sandoz Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"71711"	"34839011000001107"	"78562021"	"Busiete 10micrograms/hour transdermal patches (Teva UK Ltd)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"72098"	"34911711000001108"	"78765021"	"Turgeon 35micrograms/hour transdermal patches (Teva UK Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"72160"	"34911911000001105"	"78766021"	"Turgeon 52.5micrograms/hour transdermal patches (Teva UK Ltd)"	"Buprenorphine"	"52.5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"73146"	"19956811000001103"	"00864021"	"Prefibin 2mg sublingual tablets (Sandoz Ltd)"	"Buprenorphine hydrochloride"	"2mg"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"73406"	"35544311000001103"	"80952021"	"Bunov 5micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"73545"	"34839211000001102"	"78561021"	"Busiete 20micrograms/hour transdermal patches (Teva UK Ltd)"	"Buprenorphine"	"20microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"74337"	"34838811000001108"	"78560021"	"Busiete 5micrograms/hour transdermal patches (Teva UK Ltd)"	"Buprenorphine"	"5microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"74562"	"35543711000001101"	"80880021"	"Carlosafine 35micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd)"	"Buprenorphine"	"35microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
"74863"	"14961211000001102"	"04368020"	"Buprenorphine 400microgram sublingual tablets sugar free (Kent Pharmaceuticals Ltd)"	"Buprenorphine hydrochloride"	"400microgram"	"Sublingual tablet"	"Sublingual"	"04070200/04105200"	"Opioid Analgesics/Drugs Used In Substance Dependence - Opioid Dependence"
"75334"	"35544511000001109"	"80954021"	"Bunov 10micrograms/hour transdermal patches (Glenmark Pharmaceuticals Europe Ltd)"	"Buprenorphine"	"10microgram/1hour"	"Transdermal patch"	"Transdermal"	"04070200"	"Opioid Analgesics"
