	medcode	readcode	desc	category
11253	11252	Eu33212	"[X]Major depression, recurrent without psychotic symptoms"	recurrent
47732	47731	Eu33y00	[X]Other recurrent depressive disorders	recurrent
31758	31757	Eu33314	[X]Recurr severe episodes/psychogenic depressive psychosis	psychotic
19055	19054	Eu3y111	[X]Recurrent brief depressive episodes	recurrent
3293	3292	Eu33.00	[X]Recurrent depressive disorder	recurrent
29785	29784	Eu33000	"[X]Recurrent depressive disorder, current episode mild"	recurrent
29521	29520	Eu33100	"[X]Recurrent depressive disorder, current episode moderate"	recurrent
44301	44300	Eu33z00	"[X]Recurrent depressive disorder, unspecified"	recurrent
8852	8851	Eu33.11	[X]Recurrent episodes of depressive reaction	recurrent
19697	19696	Eu33.12	[X]Recurrent episodes of psychogenic depression	recurrent
8903	8902	Eu33.13	[X]Recurrent episodes of reactive depression	recurrent
73992	73991	Eu33214	"[X]Vital depression, recurrent without psychotic symptoms"	recurrent
6933	6932	E113.11	Endogenous depression - recurrent	recurrent
6483	6482	E113700	Recurrent depression	recurrent
15100	15099	E113.00	Recurrent major depressive episode	recurrent
25564	25563	E113z00	Recurrent major depressive episode NOS	recurrent
29343	29342	E113100	"Recurrent major depressive episodes, mild"	recurrent
14710	14709	E113200	"Recurrent major depressive episodes, moderate"	recurrent
25698	25697	E113300	"Recurrent major depressive episodes, severe, no psychosis"	recurrent
35672	35671	E113000	"Recurrent major depressive episodes, unspecified"	recurrent
65436	65435	9k40.00	Depression - enhanced service completed	referral
30584	30583	9k4..00	Depression - enhanced services administration	referral
44849	44848	8BK0.00	Depression management programme	referral
32842	32841	8HHq.00	Referral for guided self-help for depression	referral
112683	112682	8IH5200	Referral for guided self-help for depression declined	referral
22117	22116	Eu33400	"[X]Recurrent depressive disorder, currently in remission"	remission
19440	19439	212S.00	Depression resolved	remission
55385	55384	E113600	"Recurrent major depressive episodes, in full remission"	remission
56274	56273	E113500	"Recurrent major depressive episodes,partial/unspec remission"	remission
57410	57409	E112600	"Single major depressive episode, in full remission"	remission
43325	43324	E112500	"Single major depressive episode, partial or unspec remission"	remission
8827	8826	Eu33.15	[X]SAD - Seasonal affective disorder	SAD
28757	28756	Eu33.14	[X]Seasonal depressive disorder	SAD
10826	10825	E118.00	Seasonal affective disorder	SAD
100978	100977	1JJ..00	Suspected depression	suspected
2931	2930	1B17.12	C/O - feeling unhappy	symptom
10016	10015	1BT..00	Depressed mood	symptom
10439	10438	1B1U.11	Depressive symptoms	symptom
48350	48349	1S40.00	Dysphoric mood	symptom
25436	25435	1BQ..00	Loss of capacity for enjoyment	symptom
53149	53148	1BU..00	Loss of hope for the future	symptom
30741	30740	1BP..00	Loss of interest	symptom
59870	59869	1BP0.00	Loss of interest in previously enjoyable activity	symptom
8929	8928	1BT..11	Low mood	symptom
26029	26028	1BT..12	Sad mood	symptom
9797	9796	1B1U.00	Symptoms of depression	symptom
