"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"
"10954"	"2055001000027104"	"48244020"	"Ativan 1mg Tablet (Wyeth Pharmaceuticals)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010200/15010401"	"Anxiolytics/Benzodiazepines (peri-operative)"
"13279"	"8659811000001106"	"89956020"	"Lorazepam 500micrograms/5ml oral suspension"	"Lorazepam"	"100microgram/1ml"	"Oral suspension"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"17830"	"2065001000027108"	"48245020"	"Ativan 2.5mg Tablet (Wyeth Pharmaceuticals)"	"Lorazepam"	"2.5mg"	"Tablet"	"Oral"	"04010200/15010401"	"Anxiolytics/Benzodiazepines (peri-operative)"
"33086"	"842411000001101"	"50645020"	"Lorazepam 1mg tablets (Teva UK Ltd)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"35932"	"478511000001108"	"50646020"	"Lorazepam 2.5mg tablets (Teva UK Ltd)"	"Lorazepam"	"2.5mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"36200"	"9480811000001109"	"71875020"	"Lorazepam 1mg tablets (Mylan)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"37566"	"8624511000001105"	"94513020"	"Lorazepam 1mg/5ml oral suspension"	"Lorazepam"	"200microgram/1ml"	"Oral suspension"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"37745"	"8624311000001104"	"94516020"	"Lorazepam 1mg/5ml oral solution"	"Lorazepam"	"200microgram/1ml"	"Oral solution"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"39284"	"917211000001100"	"51443020"	"Lorazepam 1mg tablets (Genus Pharmaceuticals Ltd)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"41391"	"10387311000001105"	"66962020"	"Lorazepam 1mg tablets (Arrow Generics Ltd)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"42814"	"845311000001102"	"51444020"	"Lorazepam 2.5mg tablets (Genus Pharmaceuticals Ltd)"	"Lorazepam"	"2.5mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"45829"	"12533011000001103"	"74808020"	"Lorazepam 1mg tablets (Sandoz Ltd)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"46896"	"8659611000001107"	"00445021"	"Lorazepam 500micrograms/5ml oral solution"	"Lorazepam"	"100microgram/1ml"	"Oral solution"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"56551"	"8659911000001101"	"20432020"	"Lorazepam 5mg/5ml oral solution"	"Lorazepam"	"1mg/1ml"	"Oral solution"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"57268"	"12533211000001108"	"74813020"	"Lorazepam 2.5mg tablets (Sandoz Ltd)"	"Lorazepam"	"2.5mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"61450"	"295711000001104"	"61626020"	"Lorazepam 1mg tablets (A A H Pharmaceuticals Ltd)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"61886"	"8660011000001104"	"20434020"	"Lorazepam 5mg/5ml oral suspension"	"Lorazepam"	"1mg/1ml"	"Oral suspension"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"64729"	"20324811000001104"	"40522020"	"Lorazepam 1mg tablets (Genesis Pharmaceuticals Ltd)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"64876"	"8659511000001108"	"20428020"	"Lorazepam 2mg/5ml oral suspension"	"Lorazepam"	"400microgram/1ml"	"Oral suspension"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"67554"	"13403911000001105"	"75474020"	"Lorazepam 1mg tablets (Almus Pharmaceuticals Ltd)"	"Lorazepam"	"1mg"	"Tablet"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"70682"	"34697811000001107"	"78177021"	"Lorazepam 1mg/ml oral solution sugar free"	"Lorazepam"	"1mg/1ml"	"Oral solution"	"Oral"	"04010201/15010401"	"Benzodiazepines/Benzodiazepines (peri-operative)"
"74743"	"23675911000001104"	"21629021"	"Lorazepam 2mg/1ml solution for injection ampoules"	"Lorazepam"	"2mg/1ml"	"Solution for injection"	"Intramuscular/Intravenous"	"04010201/04080200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Benzodiazepines (Peri-Operative)"
"46"	"321196004"	"58980020"	"Diazepam 2mg tablets"	"Diazepam"	"2mg"	"Tablet"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"47"	"321197008"	"58981020"	"Diazepam 5mg tablets"	"Diazepam"	"5mg"	"Tablet"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"1400"	"321198003"	"58982020"	"Diazepam 10mg tablets"	"Diazepam"	"10mg"	"Tablet"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"2078"	"603811000001108"	"49185020"	"Diazepam 5mg RecTubes (Wockhardt UK Ltd)"	"Diazepam"	"2mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"2083"	"26811000001102"	"49186020"	"Diazepam 10mg RecTubes (Wockhardt UK Ltd)"	"Diazepam"	"4mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"2352"	"321199006"	"58986020"	"Diazepam 2mg/5ml oral solution"	"Diazepam"	"400microgram/1ml"	"Oral solution"	"Oral"	"04010201/04080200/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"2401"	"33295001000027105"	"52129020"	"Valium 2mg Tablet (Roche Products Ltd)"	"Diazepam"	"2mg"	"Tablet"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"3205"	"109835001000027100"	"62418020"	"Diazepam 5mg"	"Diazepam"	"5mg"	"Capsules"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"3870"	"109825001000027102"	"62417020"	"Diazepam 2mg capsules"	"Diazepam"	"2mg"	"Capsules"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"3973"	"9106811000001108"	"59078020"	"Tensium 10mg tablets (DDSA Pharmaceuticals Ltd)"	"Diazepam"	"10mg"	"Tablet"	"Oral"	"04010201/04080200/04080300/10020200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"4176"	"323074003"	"62426020"	"Diazepam 10mg/2.5ml rectal solution tube"	"Diazepam"	"4mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"4338"	"33305001000027103"	"52130020"	"Valium 5mg Tablet (Roche Products Ltd)"	"Diazepam"	"5mg"	"Tablet"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"4395"	"82011000001104"	"57880020"	"Stesolid 5mg rectal tube (Actavis UK Ltd)"	"Diazepam"	"2mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"5793"	"223295001000027101"	"83533020"	"Stesolid 10mg Rectal tubes (Dumex Ltd)"	"Diazepam"	"4mg/1ml"	"Enema"	"Rectal"	"04010200/04080200"	"Anxiolytics/Drugs Used In Status Epilepticus"
"5842"	"323069006"	"62427020"	"Diazepam 2.5mg/1.25ml rectal solution tube"	"Diazepam"	"2mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"6747"	"323073009"	"62425020"	"Diazepam 5mg/2.5ml rectal solution tube"	"Diazepam"	"2mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"8334"	"321238008"	"62422020"	"Diazepam 10mg suppositories"	"Diazepam"	"10mg"	"Suppository"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"8344"	"109855001000027101"	"62421020"	"Diazepam 5mg suppository"	"Diazepam"	"5mg"	"Suppository"	"Rectal"	"04010200/04080200"	"Anxiolytics/Drugs Used In Status Epilepticus"
"8345"	"142611000001108"	"57881020"	"Stesolid 10mg rectal tube (Accord Healthcare Ltd)"	"Diazepam"	"4mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"9045"	"196665001000027100"	"75305020"	"Diazepam 1mg/5ml suspension"	"Diazepam"	"1mg/5ml"	"Suspension"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"9065"	"321203006"	"62416020"	"Diazepam 5mg/5ml oral solution"	"Diazepam"	"1mg/1ml"	"Oral solution"	"Oral"	"04010201/04080200/04080300/10020200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"9111"	"211325001000027105"	"79693020"	"Diazepam 10mg capsules"	"Diazepam"	"10mg"	"Capsules"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"9430"	"13893311000001101"	"75306020"	"Diazepam 2.5mg/5ml oral suspension"	"Diazepam"	"500microgram/1ml"	"Oral suspension"	"Oral"	"04010201/04080200/04080300/04105000/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"10274"	"398895004"	"90715020"	"Diazepam 2mg/5ml oral solution sugar free"	"Diazepam"	"400microgram/1ml"	"Oral solution"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"10402"	"33315001000027101"	"52131020"	"Valium 10mg Tablet (Roche Products Ltd)"	"Diazepam"	"10mg"	"Tablet"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"12124"	"36097611000001105"	"75134020"	"Diazepam 10mg/2ml solution for injection ampoules"	"Diazepam"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"12237"	"36097511000001106"	"75133020"	"Diazepam 10mg/2ml emulsion for injection ampoules"	"Diazepam"	"5mg/1ml"	"Emulsion for injection"	"Intravenous"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"12849"	"13893211000001109"	"75307020"	"Diazepam 10mg/5ml oral suspension"	"Diazepam"	"2mg/1ml"	"Oral suspension"	"Oral"	"04010201/04080200/04080300/04105000/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"13756"	"3971111000001102"	"48956020"	"Diazemuls 10mg/2ml emulsion for injection ampoules (Accord Healthcare Ltd)"	"Diazepam"	"5mg/1ml"	"Emulsion for injection"	"Intravenous"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"16610"	"33185001000027108"	"52117020"	"Valium 5mg/ml Injection (Roche Products Ltd)"	"Diazepam"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04010200/04080200"	"Anxiolytics/Drugs Used In Status Epilepticus"
"16734"	"210755001000027102"	"79529020"	"Diazepam rectubes 20mg Rectal tubes (C P Pharmaceuticals Ltd)"	"Diazepam"	"20mg"	"Rectal Tubes"	"Rectal"	"04010200/04080200"	"Anxiolytics/Drugs Used In Status Epilepticus"
"18488"	"283311000001103"	"49187020"	"Diazepam 2.5mg RecTubes (Wockhardt UK Ltd)"	"Diazepam"	"2mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"19299"	"33245001000027102"	"52122020"	"Valium 5mg Capsule (Roche Products Ltd)"	"Diazepam"	"5mg"	"Capsule"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"20164"	"33235001000027103"	"52121020"	"Valium 2mg Capsule (Roche Products Ltd)"	"Diazepam"	"2mg"	"Capsule"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"20514"	"33365001000027102"	"52136020"	"Valium 10mg Suppository (Roche Products Ltd)"	"Diazepam"	"10mg"	"Suppository"	"Rectal"	"04010200/04080200"	"Anxiolytics/Drugs Used In Status Epilepticus"
"20968"	"9765211000001106"	"49507020"	"Diazepam 2mg/5ml oral solution sugar free (Actavis UK Ltd)"	"Diazepam"	"400microgram/1ml"	"Oral solution"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"23820"	"200005001000027106"	"76152020"	"Diazepam 20mg rectal tubes"	"Diazepam"	"20mg"	"Rectal Tubes"	"Rectal"	"04010200/04080200"	"Anxiolytics/Drugs Used In Status Epilepticus"
"28347"	"11805001000027106"	"49515020"	"Diazepam 2mg Tablet (Crosspharma Ltd)"	"Diazepam"	"2mg"	"Tablet"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"28698"	"33355001000027106"	"52135020"	"Valium 5mg Suppository (Roche Products Ltd)"	"Diazepam"	"5mg"	"Suppository"	"Rectal"	"04010200/04080200"	"Anxiolytics/Drugs Used In Status Epilepticus"
"28703"	"87435001000027101"	"59073020"	"Evacalm 5mg Tablet (Unimed Pharmaceuticals Ltd)"	"Diazepam"	"5mg"	"Tablet"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"29945"	"463011000001103"	"61793020"	"Diazepam 2mg tablets (Ranbaxy (UK) Ltd)"	"Diazepam"	"2mg"	"Tablet"	"Oral"	"04010201/04080200/04080300/10020200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"30321"	"33275001000027101"	"52125020"	"Valium 2mg/5ml Oral solution (Roche Products Ltd)"	"Diazepam"	"400microgram/1ml"	"Oral solution"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"31633"	"3824311000001107"	"74982020"	"Valclair 10mg suppositories (Durbin Plc)"	"Diazepam"	"10mg"	"Suppository"	"Rectal"	"00000000"	"Unknown"
"32296"	"61811000001103"	"49505020"	"Diazepam 5mg tablets (Actavis UK Ltd)"	"Diazepam"	"5mg"	"Tablet"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"32417"	"687511000001101"	"53786020"	"Diazepam 10mg/2ml solution for injection ampoules (Wockhardt UK Ltd)"	"Diazepam"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"32853"	"182011000001108"	"53466020"	"Diazepam 2mg/5ml oral solution (Sandoz Ltd)"	"Diazepam"	"400microgram/1ml"	"Oral solution"	"Oral"	"04010201/04080200/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"33070"	"87505001000027102"	"59082020"	"Solis 5mg Capsule (Galen Ltd)"	"Diazepam"	"5mg"	"Capsule"	"Oral"	"04010100/04010200"	"Hypnotics/Anxiolytics"
"33672"	"889411000001101"	"49520020"	"Diazepam 2mg tablets (A A H Pharmaceuticals Ltd)"	"Diazepam"	"2mg"	"Tablet"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"33776"	"5083111000001106"	"58806020"	"Diazepam 10mg/2ml solution for injection ampoules (Hameln Pharmaceuticals Ltd)"	"Diazepam"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04010201/04080200/04080300/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"34033"	"707111000001103"	"55423020"	"Diazepam 5mg/2.5ml rectal solution tube (Sandoz Ltd)"	"Diazepam"	"2mg/1ml"	"Enema"	"Rectal"	"04010201/04080200/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"34045"	"798311000001103"	"53465020"	"Diazepam 5mg/5ml oral solution (Sandoz Ltd)"	"Diazepam"	"1mg/1ml"	"Oral solution"	"Oral"	"04010201/04080200/10020200/15010401/54140000"	"Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning"
"34293"	"878511000001104"	"65787020"	"Diazepam 10mg tablets (Mylan)"	"Diazepam"	"10mg"	"Tablet"	"Oral"	"04010201/04080200/04080300/10020200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"34335"	"223511000001101"	"53333020"	"Diazepam 2mg tablets (Teva UK Ltd)"	"Diazepam"	"2mg"	"Tablet"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"34338"	"849711000001101"	"64045020"	"Diazepam 2mg tablets (Mylan)"	"Diazepam"	"2mg"	"Tablet"	"Oral"	"04010201/04080200/04080300/10020200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"34340"	"253911000001109"	"61795020"	"Diazepam 10mg tablets (Ranbaxy (UK) Ltd)"	"Diazepam"	"10mg"	"Tablet"	"Oral"	"04010201/04080200/04080300/10020200/15010401"	"Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
"34482"	"647011000001103"	"53334020"	"Diazepam 5mg tablets (Teva UK Ltd)"	"Diazepam"	"5mg"	"Tablet"	"Oral"	"04010201/04080400/04105000/10020200/15010401"	"Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)"
