"ProdCodeId"	"dmdid"	"Term.from.EMIS"	"ProductName"	"Formulation"	"RouteOfAdministration"	"DrugSubstanceName"	"SubstanceStrength"	"BNFChapter"	"Release"
"3979041000033112"	"426016003"	"Diazepam 25mg/5ml oral solution"	"Diazepam 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Diazepam"	"5.000mg/1.000ml"	""	""
"5991641000033117"	"8792711000001108"	"Diazepam 10mg/5ml oral solution"	"Diazepam 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Diazepam"	"2.000mg/1.000ml"	""	""
"5991741000033114"	"8792911000001105"	"Diazepam 2.5mg/5ml oral solution"	"Diazepam 2.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Diazepam"	"500.000microgram/1.000ml"	""	""
"2762441000033119"	"13893211000001109"	"Diazepam 10mg/5ml oral suspension"	"Diazepam 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Diazepam"	"2.000mg/1.000ml"	""	""
"3345241000033111"	"13893311000001101"	"Diazepam 2.5mg/5ml oral suspension"	"Diazepam 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Diazepam"	"500.000microgram/1.000ml"	""	""
"3993641000033114"	"19677811000001102"	"Diazepam 2mg/5ml oral suspension"	"Diazepam 2mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Diazepam"	"400.000microgram/1.000ml"	""	""
"3033041000033117"	"36097511000001106"	"Diazepam 10mg/2ml emulsion for injection ampoules"	"Diazepam 10mg/2ml emulsion for injection ampoules"	"Emulsion for injection"	"Intravenous"	"Diazepam"	"5.000mg/1.000ml"	"15010401"	""
"446441000033119"	"3971111000001102"	"Diazemuls 10mg/2ml emulsion for injection ampoules (Accord Healthcare Ltd)"	"Diazemuls 10mg/2ml emulsion for injection ampoules"	"Emulsion for injection"	"Intravenous"	"Diazepam"	"5.000mg/1.000ml"	"15010401"	""
"3033141000033118"	"36097611000001105"	"Diazepam 10mg/2ml solution for injection ampoules"	"Diazepam 10mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular"	"Diazepam"	"5.000mg/1.000ml"	"15010401"	""
"1455941000033116"	"307711000001103"	"Tropium 5mg capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Tropium 5mg capsules"	"Capsule"	"Oral"	"Chlordiazepoxide hydrochloride"	"5.000mg"	"4010200"	""
"827941000033116"	"849211000001108"	"Librium 5mg capsules (Meda Pharmaceuticals Ltd)"	"Librium 5mg capsules"	"Capsule"	"Oral"	"Chlordiazepoxide hydrochloride"	"5.000mg"	"4010200"	""
"238141000033111"	"321247000"	"Chlordiazepoxide 5mg capsules"	"Chlordiazepoxide 5mg capsules"	"Capsule"	"Oral"	"Chlordiazepoxide hydrochloride"	"5.000mg"	"4010200"	""
"238241000033116"	"321248005"	"Chlordiazepoxide 10mg capsules"	"Chlordiazepoxide 10mg capsules"	"Capsule"	"Oral"	"Chlordiazepoxide hydrochloride"	"10.000mg"	"4010200"	""
"827841000033112"	"218811000001104"	"Librium 10mg capsules (Meda Pharmaceuticals Ltd)"	"Librium 10mg capsules"	"Capsule"	"Oral"	"Chlordiazepoxide hydrochloride"	"10.000mg"	"4010200"	""
"2621141000033119"	"511311000001108"	"Tropium 10mg capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Tropium 10mg capsules"	"Capsule"	"Oral"	"Chlordiazepoxide hydrochloride"	"10.000mg"	"4010200"	""
"2621241000033114"	"204011000001103"	"Tropium 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Tropium 5mg tablets"	"Tablet"	"Oral"	"Chlordiazepoxide hydrochloride"	"5.000mg"	"4010200"	""
"250841000033118"	"321249002"	"Chlordiazepoxide 5mg tablets"	"Chlordiazepoxide 5mg tablets"	"Tablet"	"Oral"	"Chlordiazepoxide hydrochloride"	"5.000mg"	"4010200"	""
"250641000033119"	"321250002"	"Chlordiazepoxide 10mg tablets"	"Chlordiazepoxide 10mg tablets"	"Tablet"	"Oral"	"Chlordiazepoxide hydrochloride"	"10.000mg"	"4010200"	""
"2621341000033116"	"153811000001102"	"Tropium 10mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Tropium 10mg tablets"	"Tablet"	"Oral"	"Chlordiazepoxide hydrochloride"	"10.000mg"	"4010200"	""
"4434141000033114"	"8358211000001107"	"Chlordiazepoxide 5mg/5ml oral suspension"	"Chlordiazepoxide 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlordiazepoxide hydrochloride"	"1.000mg/1.000ml"	""	""
"172041000033110"	"321323009"	"Buspirone 5mg tablets"	"Buspirone 5mg tablets"	"Tablet"	"Oral"	"Buspirone hydrochloride"	"5.000mg"	"4010200"	""
"174141000033116"	"365311000001106"	"Buspar 5mg tablets (IXL Pharma Ltd)"	"Buspar 5mg tablets"	"Tablet"	"Oral"	"Buspirone hydrochloride"	"5.000mg"	""	""
"172241000033119"	"737211000001100"	"Buspar 10mg tablets (IXL Pharma Ltd)"	"Buspar 10mg tablets"	"Tablet"	"Oral"	"Buspirone hydrochloride"	"10.000mg"	""	""
"172141000033114"	"321327005"	"Buspirone 10mg tablets"	"Buspirone 10mg tablets"	"Tablet"	"Oral"	"Buspirone hydrochloride"	"10.000mg"	"4010200"	""
"12679241000033111"	"8304411000001106"	"Buspirone 5mg/5ml oral solution"	"Buspirone 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Buspirone hydrochloride"	"1.000mg/1.000ml"	""	""
"1543541000033117"	"4658511000001101"	"Xanax 250microgram tablets (Pfizer Ltd)"	"Xanax 250microgram tablets"	"Tablet"	"Oral"	"Alprazolam"	"250.000microgram"	"4010200"	""
"41141000033110"	"321241004"	"Alprazolam 250microgram tablets"	"Alprazolam 250microgram tablets"	"Tablet"	"Oral"	"Alprazolam"	"250.000microgram"	"4010200"	""
"41241000033115"	"321242006"	"Alprazolam 500microgram tablets"	"Alprazolam 500microgram tablets"	"Tablet"	"Oral"	"Alprazolam"	"500.000microgram"	"4010200"	""
"1543641000033116"	"4659411000001108"	"Xanax 500microgram tablets (Pfizer Ltd)"	"Xanax 500microgram tablets"	"Tablet"	"Oral"	"Alprazolam"	"500.000microgram"	"4010200"	""
